year;sample_number;size;ecto-mites_xs;ecto-mites_s;ecto-mites_m;ecto-mites_l;tracheal-mites;parasite_apicystis;parasite_crithidia;parasite_nosema;parasitoid_braconidae_larvae;parasitoid_conopidae_ventral_egg;parasitoid_conopidae_ventral_larvae;parasitoid_conopidae_dorsal_egg;parasitoid_conopidae_dorsal_larvae;parasitoid_conopidae_dead_larvae;nematode;ovary_development;fatbody_look;comment;dissector
2010;57;3.1;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;58;check;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA
2010;59;3.7;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;61;3.3;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;wh ;NA
2010;60;3.4;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;wh ;NA
2010;62;3.5;NA;0;0;0;1;0;0;0;0;0;0;0;0;0;0;NA;NA;wh ;NA
2010;63;2.9;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;wh ;NA
2010;64;3.2;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;wh ;NA
2010;65;2.6;NA;0;0;0;0;0;0;0;0;0;0;0;1;0;0;NA;NA;wh ;NA
2010;66;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA
2010;67;3;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;wh ;NA
2010;68;2.8;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;wh ;NA
2010;69;3.4;NA;0;0;0;2;0;0;0;0;0;0;0;0;0;0;NA;NA;wh sn in D 2;NA
2010;70;3.3;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;71;3.1;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;72;3.6;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;73;3.3;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
