plant.sp,genus,species,k.type
Valeriana dioica,Valeriana,dioica,2.2
Valeriana montana,Valeriana,montana,2.2
Valeriana officinalis,Valeriana,officinalis,2.2
Valeriana pratensis,Valeriana,pratensis,2.2
Valeriana procurrens,Valeriana,procurrens,2.2
Valeriana sambucifolia,Valeriana,sambucifolia,2.2
Valeriana saxatilis,Valeriana,saxatilis,2.2
Valeriana tripteris,Valeriana,tripteris,2.2
Valeriana versifolia,Valeriana,versifolia,2.2
Valeriana wallrothii,Valeriana,wallrothii,2.2
Veratrum album,Veratrum,album,1.2a
Verbascum thapsus,Verbascum,thapsus,5.6
Veronica alpina,Veronica,alpina,5.6
Veronica aphylla,Veronica,aphylla,5.6
Veronica beccabunga,Veronica,beccabunga,5.6
Veronica chamaedrys,Veronica,chamaedrys,5.6
Veronica filiformis,Veronica,filiformis,5.6
Veronica fruticans,Veronica,fruticans,5.6
Veronica officinalis,Veronica,officinalis,5.6
Veronica serpyllifolia,Veronica,serpyllifolia,5.6
Vicia cracca,Vicia,cracca,6.1b
Vicia dalmatica,Vicia,dalmatica,6.1b
Vicia sepium,Vicia,sepium,6.1b
Vicia tenuifolia,Vicia,tenuifolia,6.1b
Vincetoxicum hirundinaria,Vincetoxicum,hirundinaria,10.2
Viola biflora,Viola,biflora,5.5
Viola collina,Viola,collina,5.5
Viola hirta,Viola,hirta,5.5
Viola reichenbachiana,Viola,reichenbachiana,5.5
Willemetia stipitata,Willemetia,stipitata,7.2b
