plant.sp,genus,species,k.type
Carex vaginata,Carex,vaginata,0
Carlina acaulis,Carlina,acaulis,7.2a
Carlina biebersteinii,Carlina,biebersteinii,7.2a
Carlina vulgaris,Carlina,vulgaris,7.2a
Carum carvi,Carum,carvi,1.2a
Centaurea jacea,Centaurea,jacea,7.2a
Centaurea microptilon,Centaurea,microptilon,7.2a
Centaurea scabiosa,Centaurea,scabiosa,7.2a
Cephalanthera longifolia,Cephalanthera,longifolia,5.4
Cerastium fontanum,Cerastium,fontanum,1.2bb
Cerastium holosteoides,Cerastium,holosteoides,1.2bb
Cerastium latifolium,Cerastium,latifolium,1.2bb
Cerastium lucorum,Cerastium,lucorum,1.2bb
Chaerophyllum hirsutum,Chaerophyllum,hirsutum,1.2a
Chrysosplenium alternifolium,Chrysosplenium,alternifolium,1.2a
Cirsium arvense,Cirsium,arvense,7.2a
Cirsium oleraceum,Cirsium,oleraceum,7.2a
Cirsium palustre,Cirsium,palustre,7.2a
Cirsium spinosissimum,Cirsium,spinosissimum,7.2a
Cirsium vulgare,Cirsium,vulgare,7.2a
Clinopodium vulgare,Clinopodium,vulgare,5.1
Coeloglossum viride,Coeloglossum,viride,5.4
Convallaria majalis,Convallaria,majalis,3.1
Crepis alpestris,Crepis,alpestris,7.2b
Crepis aurea,Crepis,aurea,7.2b
Crepis biennis,Crepis,biennis,7.2b
Crepis paludosa,Crepis,paludosa,7.2b
Crepis terglouensis,Crepis,terglouensis,7.2b
Crocus albiflorus,Crocus,albiflorus,2.1
Crocus vernus,Crocus,vernus,2.1
Cruciata laevipes,Cruciata,laevipes,1.2a
Cuscuta epithymum,Cuscuta,epithymum,3.2
Cuscuta trifolii,Cuscuta,trifolii,3.2
Cynosurus cristatus,Cynosurus,cristatus,0
Dactylis glomerata,Dactylis,glomerata,0
Dactylis polygama,Dactylis,polygama,0
Dactylorhiza cruenta,Dactylorhiza,cruenta,5.4
Dactylorhiza curvifolia,Dactylorhiza,curvifolia,5.4
Dactylorhiza fuchsii,Dactylorhiza,fuchsii,5.4
Dactylorhiza incarnata,Dactylorhiza,incarnata,5.4
Dactylorhiza lapponica,Dactylorhiza,lapponica,5.4
Dactylorhiza maculata,Dactylorhiza,maculata,5.4
Dactylorhiza majalis,Dactylorhiza,majalis,5.4
Dactylorhiza praetermissa,Dactylorhiza,praetermissa,5.4
Dactylorhiza ruthei,Dactylorhiza,ruthei,5.4
Dactylorhiza sphagnicola,Dactylorhiza,sphagnicola,5.4
Dactylorhiza traunsteineri,Dactylorhiza,traunsteineri,5.4
Dactylorhiza xtransiens,Dactylorhiza,xtransiens,5.4
Daphne mezereum,Daphne,mezereum,4.1
Daucus carota,Daucus,carota,1.2a
Dentaria enneaphyllos,Dentaria,enneaphyllos,1.2bb
Deschampsia cespitosa,Deschampsia,cespitosa,0
Deschampsia littoralis,Deschampsia,littoralis,0
Deschampsia wibeliana,Deschampsia,wibeliana,0
Doronicum grandiflorum,Doronicum,grandiflorum,7.2c
Draba aizoides,Draba,aizoides,1.2bb
Dryas octopetala,Dryas,octopetala,1.2ba
Epilobium alpestre,Epilobium,alpestre,1.2ba
Epilobium alsinifolium,Epilobium,alsinifolium,1.2ba
Epilobium angustifolium,Epilobium,angustifolium,1.2ba
Epilobium montanum,Epilobium,montanum,1.2ba
Epipactis atrorubens,Epipactis,atrorubens,5.4
Erica carnea,Erica,carnea,3.1
Erigeron annuus,Erigeron,annuus,7.2c
Erigeron uniflorus,Erigeron,uniflorus,7.2c
Eupatorium cannabinum,Eupatorium,cannabinum,7.2a
Euphorbia amygdaloides,Euphorbia,amygdaloides,1.2a
Euphorbia cyparissias,Euphorbia,cyparissias,1.2a
Euphrasia frigida,Euphrasia,frigida,5.1
Euphrasia minima,Euphrasia,minima,5.1
Euphrasia officinalis,Euphrasia,officinalis,5.1
Euphrasia picta,Euphrasia,picta,5.1
Euphrasia rostkoviana,Euphrasia,rostkoviana,5.1
Festuca nigrescens,Festuca,nigrescens,0
Festuca pratensis,Festuca,pratensis,0
Festuca quadriflora,Festuca,quadriflora,0
Fragaria moschata,Fragaria,moschata,1.2ba
Fragaria vesca,Fragaria,vesca,1.2ba
Fragaria viridis,Fragaria,viridis,1.2ba
Fragaria xananassa,Fragaria,xananassa,1.2ba
Galeobdolon argentatum,Galeobdolon,argentatum,5.1
Galeobdolon flavidum,Galeobdolon,flavidum,5.1
Galeobdolon luteum,Galeobdolon,luteum,5.1
Galeobdolon montanum,Galeobdolon,montanum,5.1
Lamium galeobdolon,Galeobdolon,galeobdolon,5.1
Galeopsis speciosa,Galeopsis,speciosa,5.1
Galeopsis tetrahit,Galeopsis,tetrahit,5.1
Galium album,Galium,album,1.2a
Galium anisophyllon,Galium,anisophyllon,1.2a
Galium pumilum,Galium,pumilum,1.2a
Galium sterneri,Galium,sterneri,1.2a
Galium suecicum,Galium,suecicum,1.2a
Galium valdepilosum,Galium,valdepilosum,1.2a
Gentiana asclepiadea,Gentiana,asclepiadea,2.1
Gentiana bavarica,Gentiana,bavarica,4.1
Gentiana clusii,Gentiana,clusii,2.1
Gentiana cruciata,Gentiana,cruciata,2.1
Gentiana nivalis,Gentiana,nivalis,4.1
Gentiana pannonica,Gentiana,pannonica,2.1
Gentiana utriculosa,Gentiana,utriculosa,4.1
Gentiana verna,Gentiana,verna,4.1
Gentianella aspera,Gentianella,aspera,2.1
Gentiana aspera,Gentiana,aspera,2.1
Gentianella ciliata,Gentianella,ciliata,2.1
Gentiana ciliata,Gentiana,ciliata,2.1
Geranium purpureum,Geranium,purpureum,1.2bb
Geranium robertianum,Geranium,robertianum,1.2bb
Geranium sylvaticum,Geranium,sylvaticum,1.2bb
Geum rivale,Geum,rivale,3.2
Geum urbanum,Geum,urbanum,1.2ba
Glechoma hederacea,Glechoma,hederacea,5.1
Globularia cordifolia,Globularia,cordifolia,7.1
Globularia nudicaulis,Globularia,nudicaulis,7.1
Gymnadenia conopsea,Gymnadenia,conopsea,5.4
Gymnadenia odoratissima,Gymnadenia,odoratissima,5.4
Gypsophila repens,Gypsophila,repens,2.2
Hedysarum hedysaroides,Hedysarum,hedysaroides,6.1a
Helianthemum alpestre,Helianthemum,alpestre,1.1
Helianthemum nummularium,Helianthemum,nummularium,1.1
Helictotrichon pubescens,Helictotrichon,pubescens,0
Helleborus niger,Helleborus,niger,1.2bf
Hepatica nobilis,Hepatica,nobilis,1.1
Heracleum austriacum,Heracleum,austriacum,1.2a
