site,elev.mean,date,yday,ktype,visits,prop.visits,bb.abund,perc.flower.cover,elev.mean0,yday0,prop.flower.cover0,bb.abund0,visits.bin,year
h1,817,2010-05-12,132,1,1,0.16666666666666666,6,43.61001317523056,-1.1684214839313722,-1.5525577477277905,1.5699436005957972,-0.5533579150690106,1,2010
h1,817,2010-05-12,132,2,0,0,6,3.293807641633729,-1.1684214839313722,-1.5525577477277905,-0.5961131807321537,-0.5533579150690106,0,2010
h1,817,2010-05-12,132,3,0,0,6,1.3175230566534917,-1.1684214839313722,-1.5525577477277905,-0.7022924347188179,-0.5533579150690106,0,2010
h1,817,2010-05-12,132,4,0,0,6,31.027667984189723,-1.1684214839313722,-1.5525577477277905,0.893935683547368,-0.5533579150690106,0,2010
h1,817,2010-05-12,132,5,2,0.3333333333333333,6,2.371541501976284,-1.1684214839313722,-1.5525577477277905,-0.6456634992592636,-0.5533579150690106,1,2010
h1,817,2010-05-12,132,6,3,0.5,6,11.923583662714098,-1.1684214839313722,-1.5525577477277905,-0.13246377165705306,-0.5533579150690106,1,2010
h1,817,2010-05-12,132,7,0,0,6,6.455862977602108,-1.1684214839313722,-1.5525577477277905,-0.4262263743534908,-0.5533579150690106,0,2010
h1,817,2010-05-23,143,0,0,0,4,0.0825082508250825,-1.1684214839313722,-1.2431944423894945,-0.7686457077959626,-0.675911168710298,0,2010
h1,817,2010-05-23,143,1,1,0.25,4,24.876237623762375,-1.1684214839313722,-1.2431944423894945,0.563439614517095,-0.675911168710298,1,2010
h1,817,2010-05-23,143,2,0,0,4,1.9801980198019802,-1.1684214839313722,-1.2431944423894945,-0.6666890941081081,-0.675911168710298,0,2010
h1,817,2010-05-23,143,3,0,0,4,0.825082508250825,-1.1684214839313722,-1.2431944423894945,-0.7287496415702805,-0.675911168710298,0,2010
h1,817,2010-05-23,143,4,0,0,4,28.919141914191414,-1.1684214839313722,-1.2431944423894945,0.7806515306346983,-0.675911168710298,0,2010
h1,817,2010-05-23,143,5,2,0.5,4,3.9191419141914188,-1.1684214839313722,-1.2431944423894945,-0.5625160322966044,-0.675911168710298,1,2010
h1,817,2010-05-23,143,6,1,0.25,4,11.592409240924091,-1.1684214839313722,-1.2431944423894945,-0.15025668129788772,-0.675911168710298,1,2010
h1,817,2010-05-23,143,7,0,0,4,27.805280528052805,-1.1684214839313722,-1.2431944423894945,0.7208074312961751,-0.675911168710298,0,2010
h1,817,2010-06-18,169,0,0,0,7,2.515723270440252,-1.1684214839313722,-0.5119720843171586,-0.6379170882765888,-0.4920812882483667,0,2010
h1,817,2010-06-18,169,1,0,0,7,38.9937106918239,-1.1684214839313722,-0.5119720843171586,1.321924890340155,-0.4920812882483667,0,2010
h1,817,2010-06-18,169,2,0,0,7,2.515723270440252,-1.1684214839313722,-0.5119720843171586,-0.6379170882765888,-0.4920812882483667,0,2010
h1,817,2010-06-18,169,3,0,0,7,4.402515723270441,-1.1684214839313722,-0.5119720843171586,-0.5365459514515848,-0.4920812882483667,0,2010
h1,817,2010-06-18,169,4,0,0,7,1.257861635220126,-1.1684214839313722,-0.5119720843171586,-0.7054978461599247,-0.4920812882483667,0,2010
h1,817,2010-06-18,169,5,1,0.14285714285714285,7,16.352201257861637,-1.1684214839313722,-0.5119720843171586,0.10547124844010725,-0.4920812882483667,1,2010
h1,817,2010-06-18,169,6,4,0.5714285714285714,7,18.238993710691826,-1.1684214839313722,-0.5119720843171586,0.2068423852651112,-0.4920812882483667,1,2010
h1,817,2010-06-18,169,7,2,0.2857142857142857,7,15.723270440251575,-1.1684214839313722,-0.5119720843171586,0.07168086949843926,-0.4920812882483667,1,2010
h1,817,2010-06-30,181,0,0,0,1,3.5398230088495577,-1.1684214839313722,-0.17448484212992663,-0.5828955862830763,-0.8597410491722294,0,2010
h1,817,2010-06-30,181,1,0,0,1,27.43362831858407,-1.1684214839313722,-0.17448484212992663,0.7008397835981688,-0.8597410491722294,0,2010
h1,817,2010-06-30,181,2,0,0,1,3.5398230088495577,-1.1684214839313722,-0.17448484212992663,-0.5828955862830763,-0.8597410491722294,0,2010
h1,817,2010-06-30,181,3,0,0,1,4.424778761061947,-1.1684214839313722,-0.17448484212992663,-0.5353498318430302,-0.8597410491722294,0,2010
h1,817,2010-06-30,181,4,0,0,1,0.8849557522123894,-1.1684214839313722,-0.17448484212992663,-0.7255328496032145,-0.8597410491722294,0,2010
h1,817,2010-06-30,181,5,1,1,1,17.699115044247787,-1.1684214839313722,-0.17448484212992663,0.1778364847576616,-0.8597410491722294,1,2010
h1,817,2010-06-30,181,6,0,0,1,29.20353982300885,-1.1684214839313722,-0.17448484212992663,0.7959312924782612,-0.8597410491722294,0,2010
h1,817,2010-06-30,181,7,0,0,1,13.27433628318584,-1.1684214839313722,-0.17448484212992663,-0.05989228744256906,-0.8597410491722294,0,2010
h1,817,2010-07-12,193,0,0,0,8,2.4096385542168677,-1.1684214839313722,0.16300240005730535,-0.6436166702667496,-0.430804661427723,0,2010
h1,817,2010-07-12,193,1,0,0,8,19.27710843373494,-1.1684214839313722,0.16300240005730535,0.26261686616882823,-0.430804661427723,0,2010
h1,817,2010-07-12,193,2,0,0,8,1.2048192771084338,-1.1684214839313722,0.16300240005730535,-0.7083476371550051,-0.430804661427723,0,2010
h1,817,2010-07-12,193,3,0,0,8,2.4096385542168677,-1.1684214839313722,0.16300240005730535,-0.6436166702667496,-0.430804661427723,0,2010
h1,817,2010-07-12,193,5,6,0.75,8,15.060240963855422,-1.1684214839313722,0.16300240005730535,0.0360584820599338,-0.430804661427723,1,2010
h1,817,2010-07-12,193,6,2,0.25,8,53.01204819277109,-1.1684214839313722,0.16300240005730535,2.0750839390399842,-0.430804661427723,1,2010
h1,817,2010-07-12,193,7,0,0,8,6.626506024096386,-1.1684214839313722,0.16300240005730535,-0.4170582861578551,-0.430804661427723,0,2010
h1,817,2010-07-18,199,0,0,0,19.5,6.944444444444445,-1.1684214839313722,0.33174602115092133,-0.39997650322900996,0.2738765470096803,0,2010
h1,817,2010-07-18,199,1,0,0,19.5,22.222222222222225,-1.1684214839313722,0.33174602115092133,0.42084811856234183,0.2738765470096803,0,2010
h1,817,2010-07-18,199,2,0,0,19.5,1.388888888888889,-1.1684214839313722,0.33174602115092133,-0.6984581838804106,0.2738765470096803,0,2010
h1,817,2010-07-18,199,3,0,0,19.5,2.777777777777778,-1.1684214839313722,0.33174602115092133,-0.6238377637175604,0.2738765470096803,0,2010
h1,817,2010-07-18,199,5,2,0.10256410256410256,19.5,22.222222222222225,-1.1684214839313722,0.33174602115092133,0.42084811856234183,0.2738765470096803,1,2010
h1,817,2010-07-18,199,6,15,0.7948717948717948,19.5,22.222222222222225,-1.1684214839313722,0.33174602115092133,0.42084811856234183,0.2738765470096803,1,2010
h1,817,2010-07-18,199,7,2,0.10256410256410256,19.5,22.222222222222225,-1.1684214839313722,0.33174602115092133,0.42084811856234183,0.2738765470096803,1,2010
h1,817,2010-07-26,207,0,0,0,15,5.405405405405405,-1.1684214839313722,0.5567375159424093,-0.48266399584189795,-0.001868273683216637,0,2010
h1,817,2010-07-26,207,1,0,0,15,18.91891891891892,-1.1684214839313722,0.5567375159424093,0.24337252466150902,-0.001868273683216637,0,2010
h1,817,2010-07-26,207,2,0,0,15,2.7027027027027026,-1.1684214839313722,0.5567375159424093,-0.6278712999425794,-0.001868273683216637,0,2010
h1,817,2010-07-26,207,3,0,0,15,2.7027027027027026,-1.1684214839313722,0.5567375159424093,-0.6278712999425794,-0.001868273683216637,0,2010
h1,817,2010-07-26,207,5,2,0.13333333333333333,15,27.027027027027028,-1.1684214839313722,0.5567375159424093,0.6789944369635532,-0.001868273683216637,1,2010
h1,817,2010-07-26,207,6,13,0.8666666666666667,15,18.91891891891892,-1.1684214839313722,0.5567375159424093,0.24337252466150902,-0.001868273683216637,1,2010
h1,817,2010-07-26,207,7,0,0,15,24.324324324324323,-1.1684214839313722,0.5567375159424093,0.5337871328628716,-0.001868273683216637,0,2010
h1,817,2010-08-23,235,0,0,0,22,8.333333333333332,-1.1684214839313722,1.3442077477126173,-0.3253560830661598,0.4270681140612897,0,2010
h1,817,2010-08-23,235,1,0,0,22,22.916666666666668,-1.1684214839313722,1.3442077477126173,0.45815832864376693,0.4270681140612897,0,2010
h1,817,2010-08-23,235,2,16,0.7272727272727273,22,10.416666666666668,-1.1684214839313722,1.3442077477126173,-0.21342545282188446,0.4270681140612897,1,2010
h1,817,2010-08-23,235,5,4,0.18181818181818182,22,12.5,-1.1684214839313722,1.3442077477126173,-0.10149482257760933,0.4270681140612897,1,2010
