site,date,bb.sp,plant.sp,visits
h1,2010-05-12,pasc,Ajuga reptans,2
h1,2010-05-12,pasc,Polygala chamaebuxus,3
h1,2010-05-12,pasc,Ranunculus acris,1
h1,2010-05-23,pasc,Ajuga reptans,2
h1,2010-05-23,pasc,Biscutella laevigata,1
h1,2010-05-23,pasc,Polygala chamaebuxus,0
h1,2010-05-23,wurf,Ajuga reptans,0
h1,2010-05-23,wurf,Biscutella laevigata,0
h1,2010-05-23,wurf,Polygala chamaebuxus,1
h1,2010-06-18,pasc,Dactylorhiza maculata,1
h1,2010-06-18,pasc,Phyteuma orbiculare,0
h1,2010-06-18,pasc,Trifolium pratense,4
h1,2010-06-18,prat,Dactylorhiza maculata,0
h1,2010-06-18,prat,Phyteuma orbiculare,1
h1,2010-06-18,prat,Trifolium pratense,0
h1,2010-06-18,soro,Dactylorhiza maculata,0
h1,2010-06-18,soro,Phyteuma orbiculare,1
h1,2010-06-18,soro,Trifolium pratense,0
h1,2010-06-30,pasc,Prunella vulgaris,1
h1,2010-07-12,pasc,Lotus corniculatus,1
h1,2010-07-12,pasc,Prunella vulgaris,6
h1,2010-07-12,pasc,Trifolium pratense,1
h1,2010-07-18,pasc,Centaurea jacea,2
h1,2010-07-18,pasc,Lotus corniculatus,7
h1,2010-07-18,pasc,Prunella vulgaris,2
h1,2010-07-18,pasc,Prunella vulgaris,2
h1,2010-07-18,pasc,Trifolium pratense,8
h1,2010-07-18,pasc,Trifolium pratense,5
h1,2010-07-18,pasc,Trifolium repens,1
h1,2010-07-18,telu,Centaurea jacea,0
h1,2010-07-18,telu,Lotus corniculatus,0
h1,2010-07-18,telu,Prunella vulgaris,0
h1,2010-07-18,telu,Trifolium pratense,1
h1,2010-07-18,telu,Trifolium repens,0
h1,2010-07-26,pasc,Lotus corniculatus,7
h1,2010-07-26,pasc,Prunella vulgaris,2
h1,2010-07-26,pasc,Trifolium pratense,5
h1,2010-07-26,telu,Lotus corniculatus,0
h1,2010-07-26,telu,Prunella vulgaris,0
h1,2010-07-26,telu,Trifolium pratense,1
h1,2010-08-23,hort,Gentiana asclepiadea,1
h1,2010-08-23,hort,Lotus corniculatus,0
h1,2010-08-23,hort,Salvia glutinosa,1
h1,2010-08-23,hort,Trifolium pratense,0
h1,2010-08-23,pasc,Gentiana asclepiadea,15
h1,2010-08-23,pasc,Lotus corniculatus,1
h1,2010-08-23,pasc,Salvia glutinosa,1
h1,2010-08-23,pasc,Trifolium pratense,1
h1,2010-08-23,wurf,Gentiana asclepiadea,0
h1,2010-08-23,wurf,Lotus corniculatus,0
h1,2010-08-23,wurf,Salvia glutinosa,2
h1,2010-08-23,wurf,Trifolium pratense,0
h1,2010-09-02,pasc,Centaurea jacea,2
h1,2010-09-02,pasc,Euphrasia rostkoviana,1
h1,2010-09-02,pasc,Gentiana asclepiadea,1
h1,2010-09-02,pasc,Salvia glutinosa,11
h1,2010-09-02,soro,Centaurea jacea,1
h1,2010-09-02,soro,Euphrasia rostkoviana,0
h1,2010-09-02,soro,Gentiana asclepiadea,0
h1,2010-09-02,soro,Salvia glutinosa,0
h1,2010-09-02,wurf,Centaurea jacea,0
h1,2010-09-02,wurf,Euphrasia rostkoviana,0
h1,2010-09-02,wurf,Gentiana asclepiadea,0
h1,2010-09-02,wurf,Salvia glutinosa,3
h1,2011-06-04,pasc,Lotus corniculatus,1
h1,2011-06-04,pasc,Phyteuma orbiculare,0
h1,2011-06-04,pasc,Ranunculus nemorosus,0
h1,2011-06-04,pasc,Trifolium pratense,2
h1,2011-06-04,pasc,Trifolium repens,1
h1,2011-06-04,prat,Lotus corniculatus,0
h1,2011-06-04,prat,Phyteuma orbiculare,1
h1,2011-06-04,prat,Ranunculus nemorosus,0
h1,2011-06-04,prat,Trifolium pratense,0
h1,2011-06-04,prat,Trifolium repens,0
h1,2011-06-04,soro,Lotus corniculatus,0
h1,2011-06-04,soro,Phyteuma orbiculare,4
h1,2011-06-04,soro,Ranunculus nemorosus,0
h1,2011-06-04,soro,Trifolium pratense,0
h1,2011-06-04,soro,Trifolium repens,0
h1,2011-06-04,telu,Lotus corniculatus,0
h1,2011-06-04,telu,Phyteuma orbiculare,0
h1,2011-06-04,telu,Ranunculus nemorosus,1
h1,2011-06-04,telu,Trifolium pratense,0
h1,2011-06-04,telu,Trifolium repens,0
h1,2011-06-09,jone,Chaerophyllum hirsutum,0
h1,2011-06-09,jone,Lotus corniculatus,0
h1,2011-06-09,jone,Phyteuma orbiculare,1
h1,2011-06-09,jone,Plantago lanceolata,0
h1,2011-06-09,jone,Plantago media,0
h1,2011-06-09,jone,Potentilla erecta,0
h1,2011-06-09,jone,Ranunculus nemorosus,0
h1,2011-06-09,jone,Trifolium pratense,0
h1,2011-06-09,pasc,Chaerophyllum hirsutum,0
h1,2011-06-09,pasc,Lotus corniculatus,3
h1,2011-06-09,pasc,Phyteuma orbiculare,0
h1,2011-06-09,pasc,Plantago lanceolata,0
h1,2011-06-09,pasc,Plantago media,0
h1,2011-06-09,pasc,Potentilla erecta,1
h1,2011-06-09,pasc,Ranunculus nemorosus,0
h1,2011-06-09,pasc,Trifolium pratense,6
h1,2011-06-09,prat,Chaerophyllum hirsutum,0
h1,2011-06-09,prat,Lotus corniculatus,0
h1,2011-06-09,prat,Phyteuma orbiculare,2
h1,2011-06-09,prat,Plantago lanceolata,0
h1,2011-06-09,prat,Plantago media,0
h1,2011-06-09,prat,Potentilla erecta,0
h1,2011-06-09,prat,Ranunculus nemorosus,0
h1,2011-06-09,prat,Trifolium pratense,1
h1,2011-06-09,soro,Chaerophyllum hirsutum,0
h1,2011-06-09,soro,Lotus corniculatus,0
h1,2011-06-09,soro,Phyteuma orbiculare,3
h1,2011-06-09,soro,Plantago lanceolata,0
h1,2011-06-09,soro,Plantago media,0
h1,2011-06-09,soro,Potentilla erecta,0
h1,2011-06-09,soro,Ranunculus nemorosus,0
h1,2011-06-09,soro,Trifolium pratense,0
h1,2011-06-09,telu,Chaerophyllum hirsutum,1
h1,2011-06-09,telu,Lotus corniculatus,0
h1,2011-06-09,telu,Phyteuma orbiculare,0
h1,2011-06-09,telu,Plantago lanceolata,9
h1,2011-06-09,telu,Plantago media,4
h1,2011-06-09,telu,Potentilla erecta,0
h1,2011-06-09,telu,Ranunculus nemorosus,2
h1,2011-06-09,telu,Trifolium pratense,0
h1,2011-06-30,pasc,Lotus corniculatus,4
h1,2011-06-30,pasc,Prunella vulgaris,8
h1,2011-06-30,pasc,Trifolium pratense,5
h1,2011-06-30,soro,Lotus corniculatus,1
h1,2011-06-30,soro,Prunella vulgaris,0
h1,2011-06-30,soro,Trifolium pratense,0
h1,2011-06-30,telu,Lotus corniculatus,14
h1,2011-06-30,telu,Prunella vulgaris,0
h1,2011-06-30,telu,Trifolium pratense,0
h1,2011-07-06,pasc,Lotus corniculatus,3
h1,2011-07-06,pasc,Prunella vulgaris,23
h1,2011-07-06,pasc,Thymus pulegioides,0
h1,2011-07-06,pasc,Trifolium pratense,1
h1,2011-07-06,pasc,Trifolium repens,0
h1,2011-07-06,soro,Lotus corniculatus,0
h1,2011-07-06,soro,Prunella vulgaris,2
h1,2011-07-06,soro,Thymus pulegioides,0
h1,2011-07-06,soro,Trifolium pratense,0
h1,2011-07-06,soro,Trifolium repens,0
h1,2011-07-06,telu,Lotus corniculatus,3
h1,2011-07-06,telu,Prunella vulgaris,1
h1,2011-07-06,telu,Thymus pulegioides,1
h1,2011-07-06,telu,Trifolium pratense,0
h1,2011-07-06,telu,Trifolium repens,1
h1,2011-07-12,pasc,Leucanthemum vulgare,1
h1,2011-07-12,pasc,Lotus corniculatus,1
h1,2011-07-12,pasc,Plantago lanceolata,0
h1,2011-07-12,pasc,Prunella vulgaris,12
h1,2011-07-12,pasc,Trifolium pratense,1
h1,2011-07-12,prat,Leucanthemum vulgare,0
h1,2011-07-12,prat,Lotus corniculatus,0
h1,2011-07-12,prat,Plantago lanceolata,0
h1,2011-07-12,prat,Prunella vulgaris,1
h1,2011-07-12,prat,Trifolium pratense,0
h1,2011-07-12,soro,Leucanthemum vulgare,0
h1,2011-07-12,soro,Lotus corniculatus,0
h1,2011-07-12,soro,Plantago lanceolata,0
h1,2011-07-12,soro,Prunella vulgaris,2
h1,2011-07-12,soro,Trifolium pratense,0
h1,2011-07-12,telu,Leucanthemum vulgare,0
h1,2011-07-12,telu,Lotus corniculatus,0
h1,2011-07-12,telu,Plantago lanceolata,1
h1,2011-07-12,telu,Prunella vulgaris,3
h1,2011-07-12,telu,Trifolium pratense,0
h1,2011-07-29,pasc,Centaurea jacea,1
h1,2011-07-29,pasc,Clinopodium vulgare,0
h1,2011-07-29,pasc,Lotus corniculatus,2
h1,2011-07-29,pasc,Prunella vulgaris,4
h1,2011-07-29,pasc,Trifolium pratense,3
h1,2011-07-29,soro,Centaurea jacea,4
h1,2011-07-29,soro,Clinopodium vulgare,1
h1,2011-07-29,soro,Lotus corniculatus,0
h1,2011-07-29,soro,Prunella vulgaris,0
h1,2011-07-29,soro,Trifolium pratense,0
h1,2011-07-29,telu,Centaurea jacea,1
h1,2011-07-29,telu,Clinopodium vulgare,0
h1,2011-07-29,telu,Lotus corniculatus,0
h1,2011-07-29,telu,Prunella vulgaris,0
h1,2011-07-29,telu,Trifolium pratense,0
h1,2011-08-10,pasc,Centaurea jacea,3
h1,2011-08-10,pasc,Salvia glutinosa,2
h1,2011-08-10,soro,Centaurea jacea,5
h1,2011-08-10,soro,Salvia glutinosa,0
h1,2011-08-19,pasc,Centaurea jacea,1
h1,2011-08-19,pasc,Salvia glutinosa,1
h1,2011-08-19,pasc,Trifolium pratense,1
h1,2012-03-30,soro,Erica carnea,1
h1,2012-04-02,hort,Erica carnea,0
h1,2012-04-02,hort,Primula elatior,1
h1,2012-04-02,jone,Erica carnea,1
h1,2012-04-02,jone,Primula elatior,0
h1,2012-04-02,prat,Erica carnea,1
h1,2012-04-02,prat,Primula elatior,0
h1,2012-04-02,telu,Erica carnea,8
h1,2012-04-02,telu,Primula elatior,0
h1,2012-04-15,pasc,Erica carnea,0
h1,2012-04-15,pasc,Primula elatior,1
h1,2012-04-15,telu,Erica carnea,1
h1,2012-04-15,telu,Primula elatior,0
h1,2012-04-20,prat,Erica carnea,1
h1,2012-04-20,telu,Erica carnea,19
h1,2012-04-20,telu,Erica carnea,33
h1,2012-04-23,jone,Erica carnea,1
h1,2012-04-23,jone,Erica carnea,2
h1,2012-04-23,jone,Primula elatior,0
h1,2012-04-23,pasc,Erica carnea,1
h1,2012-04-23,pasc,Primula elatior,1
h1,2012-04-23,prat,Erica carnea,1
h1,2012-04-23,prat,Erica carnea,1
h1,2012-04-23,prat,Primula elatior,0
h1,2012-04-23,psit,Erica carnea,1
h1,2012-04-23,psit,Erica carnea,2
h1,2012-04-23,psit,Primula elatior,0
h1,2012-04-23,telu,Erica carnea,11
h1,2012-04-23,telu,Erica carnea,51
h1,2012-04-23,telu,Primula elatior,0
h1,2012-04-27,hort,Erica carnea,0
h1,2012-04-27,hort,Gentiana verna,1
h1,2012-04-27,hort,Juniperus communis,0
h1,2012-04-27,hort,Polygala chamaebuxus,0
h1,2012-04-27,hort,Primula elatior,0
h1,2012-04-27,hort,Viola reichenbachiana,2
h1,2012-04-27,hypn,Erica carnea,1
h1,2012-04-27,hypn,Gentiana verna,0
h1,2012-04-27,hypn,Juniperus communis,0
h1,2012-04-27,hypn,Polygala chamaebuxus,0
h1,2012-04-27,hypn,Primula elatior,0
h1,2012-04-27,hypn,Viola reichenbachiana,0
h1,2012-04-27,jone,Erica carnea,2
h1,2012-04-27,jone,Erica carnea,3
h1,2012-04-27,jone,Erica carnea,3
h1,2012-04-27,jone,Erica carnea,5
h1,2012-04-27,jone,Gentiana verna,0
h1,2012-04-27,jone,Juniperus communis,0
h1,2012-04-27,jone,Polygala chamaebuxus,0
h1,2012-04-27,jone,Primula elatior,0
h1,2012-04-27,jone,Viola reichenbachiana,0
h1,2012-04-27,mont,Erica carnea,1
h1,2012-04-27,mont,Erica carnea,2
h1,2012-04-27,mont,Gentiana verna,0
h1,2012-04-27,mont,Juniperus communis,0
h1,2012-04-27,mont,Polygala chamaebuxus,0
h1,2012-04-27,mont,Primula elatior,0
h1,2012-04-27,mont,Viola reichenbachiana,0
h1,2012-04-27,pasc,Erica carnea,1
h1,2012-04-27,pasc,Erica carnea,1
h1,2012-04-27,pasc,Erica carnea,3
h1,2012-04-27,pasc,Erica carnea,2
h1,2012-04-27,pasc,Gentiana verna,0
h1,2012-04-27,pasc,Juniperus communis,0
h1,2012-04-27,pasc,Polygala chamaebuxus,1
h1,2012-04-27,pasc,Primula elatior,1
h1,2012-04-27,pasc,Primula elatior,1
h1,2012-04-27,pasc,Viola reichenbachiana,1
h1,2012-04-27,pasc,Viola reichenbachiana,1
h1,2012-04-27,prat,Erica carnea,1
h1,2012-04-27,prat,Erica carnea,2
h1,2012-04-27,prat,Erica carnea,7
h1,2012-04-27,prat,Erica carnea,8
h1,2012-04-27,prat,Gentiana verna,0
h1,2012-04-27,prat,Juniperus communis,1
h1,2012-04-27,prat,Polygala chamaebuxus,0
h1,2012-04-27,prat,Primula elatior,0
h1,2012-04-27,prat,Viola reichenbachiana,0
h1,2012-04-27,psit,Erica carnea,2
h1,2012-04-27,psit,Erica carnea,11
h1,2012-04-27,psit,Erica carnea,10
h1,2012-04-27,psit,Gentiana verna,1
h1,2012-04-27,psit,Juniperus communis,0
h1,2012-04-27,psit,Polygala chamaebuxus,0
h1,2012-04-27,psit,Primula elatior,0
h1,2012-04-27,psit,Viola reichenbachiana,0
h1,2012-04-27,soro,Erica carnea,3
h1,2012-04-27,soro,Erica carnea,1
h1,2012-04-27,soro,Gentiana verna,0
h1,2012-04-27,soro,Juniperus communis,0
h1,2012-04-27,soro,Polygala chamaebuxus,0
h1,2012-04-27,soro,Primula elatior,0
h1,2012-04-27,soro,Viola reichenbachiana,0
h1,2012-04-27,telu,Erica carnea,51
h1,2012-04-27,telu,Erica carnea,45
h1,2012-04-27,telu,Erica carnea,98
h1,2012-04-27,telu,Erica carnea,61
h1,2012-04-27,telu,Gentiana verna,0
h1,2012-04-27,telu,Juniperus communis,0
h1,2012-04-27,telu,Polygala chamaebuxus,0
h1,2012-04-27,telu,Primula elatior,0
h1,2012-04-27,telu,Viola reichenbachiana,0
h1,2012-04-27,wurf,Erica carnea,3
h1,2012-04-27,wurf,Gentiana verna,0
h1,2012-04-27,wurf,Juniperus communis,0
h1,2012-04-27,wurf,Polygala chamaebuxus,0
h1,2012-04-27,wurf,Primula elatior,0
h1,2012-04-27,wurf,Viola reichenbachiana,0
h1,2012-05-01,jone,Erica carnea,5
h1,2012-05-01,jone,Erica carnea,1
h1,2012-05-01,jone,Gentiana verna,0
h1,2012-05-01,jone,Juniperus communis,0
h1,2012-05-01,jone,Polygala chamaebuxus,0
h1,2012-05-01,jone,Primula elatior,0
h1,2012-05-01,jone,Viola reichenbachiana,0
h1,2012-05-01,lapi,Erica carnea,1
h1,2012-05-01,lapi,Gentiana verna,0
h1,2012-05-01,lapi,Juniperus communis,0
h1,2012-05-01,lapi,Polygala chamaebuxus,0
h1,2012-05-01,lapi,Primula elatior,0
h1,2012-05-01,lapi,Viola reichenbachiana,0
h1,2012-05-01,pasc,Erica carnea,2
h1,2012-05-01,pasc,Erica carnea,7
h1,2012-05-01,pasc,Gentiana verna,0
h1,2012-05-01,pasc,Juniperus communis,0
h1,2012-05-01,pasc,Polygala chamaebuxus,1
h1,2012-05-01,pasc,Polygala chamaebuxus,1
h1,2012-05-01,pasc,Polygala chamaebuxus,1
h1,2012-05-01,pasc,Primula elatior,1
h1,2012-05-01,pasc,Viola reichenbachiana,1
h1,2012-05-01,prat,Erica carnea,8
h1,2012-05-01,prat,Erica carnea,4
h1,2012-05-01,prat,Erica carnea,8
h1,2012-05-01,prat,Gentiana verna,0
h1,2012-05-01,prat,Juniperus communis,1
h1,2012-05-01,prat,Polygala chamaebuxus,0
h1,2012-05-01,prat,Primula elatior,0
h1,2012-05-01,prat,Viola reichenbachiana,0
h1,2012-05-01,psit,Erica carnea,10
h1,2012-05-01,psit,Erica carnea,2
h1,2012-05-01,psit,Erica carnea,19
h1,2012-05-01,psit,Gentiana verna,1
h1,2012-05-01,psit,Gentiana verna,1
h1,2012-05-01,psit,Juniperus communis,0
h1,2012-05-01,psit,Polygala chamaebuxus,0
h1,2012-05-01,psit,Primula elatior,0
h1,2012-05-01,psit,Viola reichenbachiana,0
h1,2012-05-01,soro,Erica carnea,1
h1,2012-05-01,soro,Gentiana verna,0
h1,2012-05-01,soro,Juniperus communis,0
h1,2012-05-01,soro,Polygala chamaebuxus,0
h1,2012-05-01,soro,Primula elatior,0
h1,2012-05-01,soro,Viola reichenbachiana,0
h1,2012-05-01,telu,Erica carnea,61
h1,2012-05-01,telu,Erica carnea,2
h1,2012-05-01,telu,Erica carnea,9
h1,2012-05-01,telu,Gentiana verna,0
h1,2012-05-01,telu,Juniperus communis,0
h1,2012-05-01,telu,Polygala chamaebuxus,0
h1,2012-05-01,telu,Primula elatior,0
h1,2012-05-01,telu,Viola reichenbachiana,0
h1,2012-05-01,wurf,Erica carnea,3
h1,2012-05-01,wurf,Erica carnea,3
h1,2012-05-01,wurf,Gentiana verna,1
h1,2012-05-01,wurf,Juniperus communis,0
h1,2012-05-01,wurf,Polygala chamaebuxus,0
h1,2012-05-01,wurf,Primula elatior,0
h1,2012-05-01,wurf,Viola reichenbachiana,0
h1,2012-05-04,jone,Erica carnea,1
h1,2012-05-04,jone,Gentiana verna,0
h1,2012-05-04,jone,Polygala chamaebuxus,0
h1,2012-05-04,jone,Ranunculus montanus,0
h1,2012-05-04,jone,Viola reichenbachiana,0
h1,2012-05-04,pasc,Erica carnea,4
h1,2012-05-04,pasc,Erica carnea,2
h1,2012-05-04,pasc,Gentiana verna,1
h1,2012-05-04,pasc,Polygala chamaebuxus,1
h1,2012-05-04,pasc,Ranunculus montanus,1
h1,2012-05-04,pasc,Viola reichenbachiana,1
h1,2012-05-04,prat,Erica carnea,8
h1,2012-05-04,prat,Erica carnea,4
h1,2012-05-04,prat,Gentiana verna,0
h1,2012-05-04,prat,Polygala chamaebuxus,0
h1,2012-05-04,prat,Ranunculus montanus,0
h1,2012-05-04,prat,Viola reichenbachiana,0
h1,2012-05-04,psit,Erica carnea,15
h1,2012-05-04,psit,Erica carnea,4
h1,2012-05-04,psit,Gentiana verna,0
h1,2012-05-04,psit,Polygala chamaebuxus,0
h1,2012-05-04,psit,Ranunculus montanus,0
h1,2012-05-04,psit,Viola reichenbachiana,0
h1,2012-05-04,telu,Erica carnea,5
h1,2012-05-04,telu,Gentiana verna,1
h1,2012-05-04,telu,Polygala chamaebuxus,0
h1,2012-05-04,telu,Ranunculus montanus,0
h1,2012-05-04,telu,Viola reichenbachiana,0
h1,2012-05-04,wurf,Erica carnea,0
h1,2012-05-04,wurf,Gentiana verna,1
h1,2012-05-04,wurf,Polygala chamaebuxus,0
h1,2012-05-04,wurf,Ranunculus montanus,0
h1,2012-05-04,wurf,Viola reichenbachiana,0
h1,2012-05-08,jone,Erica carnea,1
h1,2012-05-08,jone,Polygala chamaebuxus,0
h1,2012-05-08,jone,Ranunculus montanus,0
h1,2012-05-08,pasc,Erica carnea,2
h1,2012-05-08,pasc,Polygala chamaebuxus,3
h1,2012-05-08,pasc,Ranunculus montanus,1
h1,2012-05-08,prat,Erica carnea,4
h1,2012-05-08,prat,Polygala chamaebuxus,0
h1,2012-05-08,prat,Ranunculus montanus,0
h1,2012-05-08,psit,Erica carnea,4
h1,2012-05-08,psit,Polygala chamaebuxus,0
h1,2012-05-08,psit,Ranunculus montanus,0
h1,2012-05-12,pasc,Gentiana clusii,0
h1,2012-05-12,pasc,Leontodon hispidus,0
h1,2012-05-12,pasc,Polygala chamaebuxus,2
h1,2012-05-12,pasc,Viola reichenbachiana,1
h1,2012-05-12,psit,Gentiana clusii,0
h1,2012-05-12,psit,Leontodon hispidus,2
h1,2012-05-12,psit,Polygala chamaebuxus,1
h1,2012-05-12,psit,Viola reichenbachiana,0
h1,2012-05-12,telu,Gentiana clusii,0
h1,2012-05-12,telu,Leontodon hispidus,0
h1,2012-05-12,telu,Polygala chamaebuxus,1
h1,2012-05-12,telu,Viola reichenbachiana,0
h1,2012-05-12,wurf,Gentiana clusii,1
h1,2012-05-12,wurf,Leontodon hispidus,0
h1,2012-05-12,wurf,Polygala chamaebuxus,1
h1,2012-05-12,wurf,Viola reichenbachiana,0
h1,2012-05-16,pasc,Polygala chamaebuxus,3
h1,2012-05-16,pasc,Primula farinosa,0
h1,2012-05-16,psit,Polygala chamaebuxus,0
h1,2012-05-16,psit,Primula farinosa,2
h1,2012-05-22,pasc,Ajuga reptans,1
h1,2012-05-22,pasc,Aposeris foetida,0
h1,2012-05-22,pasc,Polygala amara,1
h1,2012-05-22,pasc,Polygala chamaebuxus,1
h1,2012-05-22,pasc,Polygala chamaebuxus,1
h1,2012-05-22,prat,Ajuga reptans,0
h1,2012-05-22,prat,Aposeris foetida,1
h1,2012-05-22,prat,Polygala amara,1
h1,2012-05-22,prat,Polygala chamaebuxus,0
h1,2012-05-22,psit,Ajuga reptans,0
h1,2012-05-22,psit,Aposeris foetida,4
h1,2012-05-22,psit,Polygala amara,0
h1,2012-05-22,psit,Polygala chamaebuxus,0
h1,2012-05-22,telu,Ajuga reptans,0
h1,2012-05-22,telu,Aposeris foetida,1
h1,2012-05-22,telu,Polygala amara,0
h1,2012-05-22,telu,Polygala chamaebuxus,0
h1,2012-05-22,wurf,Ajuga reptans,0
h1,2012-05-22,wurf,Aposeris foetida,0
h1,2012-05-22,wurf,Polygala amara,0
h1,2012-05-22,wurf,Polygala chamaebuxus,1
h1,2012-05-24,pasc,Ajuga reptans,1
h1,2012-05-24,pasc,Aposeris foetida,0
h1,2012-05-24,prat,Ajuga reptans,0
h1,2012-05-24,prat,Aposeris foetida,1
h1,2012-05-24,psit,Ajuga reptans,0
h1,2012-05-24,psit,Aposeris foetida,4
h1,2012-05-24,telu,Ajuga reptans,0
h1,2012-05-24,telu,Aposeris foetida,1
h1,2012-05-28,pasc,Trifolium pratense,1
h1,2012-06-01,pasc,Ajuga reptans,1
h1,2012-06-07,pasc,Trifolium pratense,1
h1,2012-06-18,pasc,Lotus corniculatus,1
h1,2012-06-21,pasc,Prunella vulgaris,1
h1,2012-06-25,pasc,Trifolium pratense,1
h1,2012-06-28,pasc,Prunella vulgaris,4
h1,2012-06-28,pasc,Trifolium pratense,0
h1,2012-06-28,telu,Prunella vulgaris,0
h1,2012-06-28,telu,Trifolium pratense,1
h1,2012-07-13,pasc,Prunella vulgaris,3
h1,2012-07-20,pasc,Prunella vulgaris,1
h1,2012-07-20,pasc,Trifolium pratense,1
h1,2012-07-26,pasc,Centaurea jacea,1
h1,2012-07-26,pasc,Lotus corniculatus,2
h1,2012-07-26,pasc,Prunella vulgaris,1
h1,2012-07-26,pasc,Trifolium pratense,1
h1,2012-07-26,pasc,Trifolium pratense,4
h1,2012-07-26,soro,Centaurea jacea,1
h1,2012-07-26,soro,Lotus corniculatus,0
h1,2012-07-26,soro,Prunella vulgaris,1
h1,2012-07-26,soro,Trifolium pratense,0
h1,2012-07-26,telu,Centaurea jacea,1
h1,2012-07-26,telu,Lotus corniculatus,0
h1,2012-07-26,telu,Prunella vulgaris,0
h1,2012-07-26,telu,Trifolium pratense,0
h1,2012-07-30,pasc,Centaurea jacea,0
h1,2012-07-30,pasc,Prunella vulgaris,1
h1,2012-07-30,pasc,Trifolium pratense,4
h1,2012-07-30,soro,Centaurea jacea,1
h1,2012-07-30,soro,Prunella vulgaris,1
h1,2012-07-30,soro,Trifolium pratense,0
h1,2012-07-30,telu,Centaurea jacea,1
h1,2012-07-30,telu,Prunella vulgaris,0
h1,2012-07-30,telu,Trifolium pratense,0
h1,2012-08-02,pasc,Lotus corniculatus,1
h1,2012-08-02,pasc,Prunella vulgaris,2
h1,2012-08-02,pasc,Trifolium pratense,1
h1,2012-08-02,pasc,Trifolium repens,1
h1,2012-08-06,pasc,Prunella vulgaris,3
h1,2012-08-06,pasc,Trifolium pratense,1
h1,2012-08-15,hort,Centaurea jacea,0
h1,2012-08-15,hort,Gentiana asclepiadea,2
h1,2012-08-15,hort,Salvia glutinosa,0
h1,2012-08-15,hort,Trifolium pratense,0
h1,2012-08-15,pasc,Centaurea jacea,2
h1,2012-08-15,pasc,Gentiana asclepiadea,0
h1,2012-08-15,pasc,Salvia glutinosa,2
h1,2012-08-15,pasc,Trifolium pratense,4
h1,2012-08-15,prat,Centaurea jacea,0
h1,2012-08-15,prat,Gentiana asclepiadea,2
h1,2012-08-15,prat,Salvia glutinosa,0
h1,2012-08-15,prat,Trifolium pratense,0
h1,2012-08-21,pasc,Gentiana asclepiadea,1
h1,2012-08-30,hort,Origanum vulgare,0
h1,2012-08-30,hort,Salvia glutinosa,1
h1,2012-08-30,pasc,Origanum vulgare,1
h1,2012-08-30,pasc,Salvia glutinosa,0
h1,2012-08-30,wurf,Origanum vulgare,0
h1,2012-08-30,wurf,Salvia glutinosa,1
h1,2012-09-05,wurf,Salvia glutinosa,1
h2,2010-05-13,psit,Polygala alpestris,0
h2,2010-05-13,psit,Taraxacum officinale,2
h2,2010-05-13,wurf,Polygala alpestris,1
h2,2010-05-13,wurf,Taraxacum officinale,0
h2,2010-05-23,pasc,Gentiana clusii,0
h2,2010-05-23,pasc,Gentiana verna,0
h2,2010-05-23,pasc,Polygala chamaebuxus,3
h2,2010-05-23,pasc,Primula farinosa,0
h2,2010-05-23,pasc,Taraxacum officinale,0
h2,2010-05-23,psit,Gentiana clusii,0
h2,2010-05-23,psit,Gentiana verna,1
h2,2010-05-23,psit,Polygala chamaebuxus,1
h2,2010-05-23,psit,Primula farinosa,0
h2,2010-05-23,psit,Taraxacum officinale,1
h2,2010-05-23,telu,Gentiana clusii,1
h2,2010-05-23,telu,Gentiana verna,0
h2,2010-05-23,telu,Polygala chamaebuxus,20
h2,2010-05-23,telu,Primula farinosa,0
h2,2010-05-23,telu,Taraxacum officinale,0
h2,2010-05-23,wurf,Gentiana clusii,1
h2,2010-05-23,wurf,Gentiana verna,0
h2,2010-05-23,wurf,Polygala chamaebuxus,3
h2,2010-05-23,wurf,Primula farinosa,1
h2,2010-05-23,wurf,Taraxacum officinale,0
h2,2010-06-07,pasc,Trifolium montanum,1
h2,2010-06-18,hort,Acinos alpinus,0
h2,2010-06-18,hort,Anthyllis vulneraria,0
h2,2010-06-18,hort,Carduus defloratus,0
h2,2010-06-18,hort,Rhinanthus alectorolophus,1
h2,2010-06-18,hort,Rhinanthus minor,1
h2,2010-06-18,hort,Trifolium pratense,0
h2,2010-06-18,pasc,Acinos alpinus,1
h2,2010-06-18,pasc,Anthyllis vulneraria,3
h2,2010-06-18,pasc,Carduus defloratus,0
h2,2010-06-18,pasc,Rhinanthus alectorolophus,5
h2,2010-06-18,pasc,Rhinanthus minor,4
h2,2010-06-18,pasc,Trifolium pratense,1
h2,2010-06-18,soro,Acinos alpinus,0
h2,2010-06-18,soro,Anthyllis vulneraria,0
h2,2010-06-18,soro,Carduus defloratus,1
h2,2010-06-18,soro,Rhinanthus alectorolophus,0
h2,2010-06-18,soro,Rhinanthus minor,0
h2,2010-06-18,soro,Trifolium pratense,0
h2,2010-06-18,telu,Acinos alpinus,1
h2,2010-06-18,telu,Anthyllis vulneraria,0
h2,2010-06-18,telu,Carduus defloratus,0
h2,2010-06-18,telu,Rhinanthus alectorolophus,0
h2,2010-06-18,telu,Rhinanthus minor,0
h2,2010-06-18,telu,Trifolium pratense,0
h2,2010-06-18,wurf,Acinos alpinus,0
h2,2010-06-18,wurf,Anthyllis vulneraria,0
