plant.sp,plant.genus,color
Galeobdolon luteum,Galeobdolon,yellow
Galeobdolon montanum,Galeobdolon,yellow
Galeopsis speciosa,Galeopsis,yellow
Galeopsis tetrahit,Galeopsis,red
Galium album,Galium,white
Galium anisophyllon,Galium,white
Galium pumilum,Galium,white
Galium sterneri,Galium,white
Galium suecicum,Galium,white
Galium valdepilosum,Galium,white
Gentiana asclepiadea,Gentiana,blue
Gentiana bavarica,Gentiana,blue
Gentiana clusii,Gentiana,blue
Gentiana cruciata,Gentiana,blue
Gentiana nivalis,Gentiana,blue
Gentiana pannonica,Gentiana,purple
Gentiana utriculosa,Gentiana,blue
Gentiana verna,Gentiana,blue
Gentianella aspera,Gentianella,violet
Gentianella ciliata,Gentianella,blue
Geranium purpureum,Geranium,purple
Geranium robertianum,Geranium,purple
Geranium sylvaticum,Geranium,violet
Geum rivale,Geum,red
Geum urbanum,Geum,yellow
Glechoma hederacea,Glechoma,violet
Globularia cordifolia,Globularia,blue
Globularia nudicaulis,Globularia,blue
Gymnadenia conopsea,Gymnadenia,purple
Gymnadenia odoratissima,Gymnadenia,purple
Gypsophila repens,Gypsophila,white
Hedysarum hedysaroides,Hedysarum,purple
Helianthemum alpestre,Helianthemum,yellow
Helianthemum nummularium,Helianthemum,yellow
Helleborus niger,Helleborus,white
Hepatica nobilis,Hepatica,blue
Heracleum austriacum,Heracleum,white
Heracleum sphondylium,Heracleum,white
Hieracium adriaticiforme,Hieracium,yellow
Hieracium anchusoides,Hieracium,yellow
Hieracium angustifolium,Hieracium,yellow
Hieracium apatelium,Hieracium,yellow
Hieracium aridum,Hieracium,yellow
Hieracium arnoserioides,Hieracium,yellow
Hieracium arvicola,Hieracium,yellow
Hieracium aurantiacum,Hieracium,orange
Hieracium auriculoides,Hieracium,yellow
Hieracium basifurcum,Hieracium,yellow
Hieracium bauhini,Hieracium,yellow
Hieracium bifidum,Hieracium,yellow
Hieracium bifurcum,Hieracium,yellow
Hieracium brachiatum,Hieracium,yellow
Hieracium brachycomum,Hieracium,yellow
Hieracium caespitosum,Hieracium,yellow
Hieracium calodon,Hieracium,yellow
Hieracium chaetocephalum,Hieracium,yellow
Hieracium chlorops,Hieracium,yellow
Hieracium cinereiforme,Hieracium,yellow
Hieracium cochleatum,Hieracium,yellow
Hieracium cymosum,Hieracium,yellow
Hieracium densiflorum,Hieracium,yellow
Hieracium echioides,Hieracium,yellow
Hieracium euchaetium,Hieracium,yellow
Hieracium fallaciforme,Hieracium,yellow
Hieracium fallacinum,Hieracium,yellow
Hieracium fallax,Hieracium,yellow
Hieracium flagellare,Hieracium,yellow
Hieracium floribundum,Hieracium,yellow
Hieracium fuscum,Hieracium,yellow
Hieracium glomeratum,Hieracium,yellow
Hieracium guthnickianum,Hieracium,orange
Hieracium heterodoxum,Hieracium,yellow
Hieracium hoppeanum,Hieracium,yellow
Hieracium hybridum,Hieracium,yellow
Hieracium hypeuryum,Hieracium,yellow
Hieracium iseranum,Hieracium,yellow
Hieracium kalksburgense,Hieracium,yellow
Hieracium koernickeanum,Hieracium,yellow
Hieracium lactucella,Hieracium,yellow
Hieracium leptoclados,Hieracium,yellow
Hieracium leptophyton,Hieracium,yellow
Hieracium leucense,Hieracium,yellow
Hieracium longisquamum,Hieracium,yellow
Hieracium macranthelum,Hieracium,yellow
Hieracium macranthum,Hieracium,yellow
Hieracium macrostolonum,Hieracium,yellow
Hieracium montanum,Hieracium,yellow
Hieracium murorum,Hieracium,yellow
Hieracium nassovicum,Hieracium,yellow
Hieracium niphostribes,Hieracium,yellow
Hieracium nothum,Hieracium,yellow
Hieracium paragogum,Hieracium,yellow
Hieracium peleterianum,Hieracium,yellow
Hieracium pilosella,Hieracium,yellow
Hieracium piloselliflorum,Hieracium,yellow
Hieracium pilosellinum,Hieracium,yellow
Hieracium piloselloides,Hieracium,yellow
Hieracium pilosum,Hieracium,yellow
Hieracium polymastix,Hieracium,yellow
Hieracium prussicum,Hieracium,yellow
Hieracium pseudeffusum,Hieracium,yellow
Hieracium rothianum,Hieracium,yellow
Hieracium rubriflorum,Hieracium,orange
Hieracium schneidii,Hieracium,yellow
Hieracium schultesii,Hieracium,yellow
Hieracium sciadophorum,Hieracium,yellow
Hieracium sphaerocephalum,Hieracium,yellow
Hieracium spurium,Hieracium,yellow
Hieracium stoloniflorum,Hieracium,orange
Hieracium substoloniflorum,Hieracium,orange
Hieracium sulphureum,Hieracium,yellow
Hieracium villosum,Hieracium,yellow
Hieracium viridifolium,Hieracium,yellow
Hieracium visianii,Hieracium,yellow
Hieracium vulgatum,Hieracium,yellow
Hieracium walteri-langii,Hieracium,yellow
Hieracium zizianum,Hieracium,yellow
Hippocrepis comosa,Hippocrepis,yellow
Homogyne alpina,Homogyne,violet
Hypericum maculatum,Hypericum,yellow
Hypericum perforatum,Hypericum,yellow
Hypericum xdesetangsii,Hypericum,yellow
Impatiens noli-tangere,Impatiens,yellow
Juncus trifidus,Juncus,brown
Knautia arvensis,Knautia,blue
Knautia dipsacifolia,Knautia,violet
Knautia kitaibelii,Knautia,white
Lamium maculatum,Lamium,purple
Lathyrus pratensis,Lathyrus,yellow
Leontodon hispidus,Leontodon,yellow
Leucanthemum adustum,Leucanthemum,white
Leucanthemum halleri,Leucanthemum,white
Leucanthemum ircutianum,Leucanthemum,white
Leucanthemum vulgare,Leucanthemum,white
Ligusticum mutellina,Ligusticum,white
Lilium martagon,Lilium,purple
Linaria alpina,Linaria,violet
Linaria vulgaris,Linaria,yellow
Linum catharticum,Linum,white
Listera ovata,Listera,green
Lotus alpinus,Lotus,yellow
Lotus corniculatus,Lotus,yellow
Lotus tenuis,Lotus,yellow
Luzula glabrata,Luzula,brown
Luzula luzulina,Luzula,yellow
Luzula multiflora,Luzula,brown
Luzula pilosa,Luzula,brown
Luzula sudetica,Luzula,brown
Luzula sylvatica,Luzula,brown
Lychnis flos-cuculi,Lychnis,red
Lysimachia nemorum,Lysimachia,yellow
Lysimachia nummularia,Lysimachia,yellow
Maianthemum bifolium,Maianthemum,white
Malaxis monophyllos,Malaxis,yellow
Medicago lupulina,Medicago,yellow
Melampyrum sylvaticum,Melampyrum,yellow
Mentha arvensis,Mentha,pink
Mentha longifolia,Mentha,violet
Mercurialis ovata,Mercurialis,green
Mercurialis perennis,Mercurialis,green
Minuartia sedoides,Minuartia,green
Minuartia verna,Minuartia,white
Moehringia ciliata,Moehringia,white
Moehringia muscosa,Moehringia,white
Myosotis alpestris,Myosotis,blue
Myosotis decumbens,Myosotis,blue
Myosotis nemorosa,Myosotis,blue
Myosotis sylvatica,Myosotis,blue
Nigritella rhellicani,Nigritella,brown
Ophrys holoserica,Ophrys,pink
Ophrys insectifera,Ophrys,purple
Orchis ustulata,Orchis,purple
Origanum vulgare,Origanum,purple
Oxalis acetosella,Oxalis,white
Paris quadrifolia,Paris,green
Parnassia palustris,Parnassia,white
Pedicularis rostratocapitata,Pedicularis,purple
Pedicularis rostratospicata,Pedicularis,purple
Petasites albus,Petasites,white
Peucedanum ostruthium,Peucedanum,white
