plant.sp,plant.genus,k.type,k.type.s,k.type.ss
Vaccinium vitis-idaea,Vaccinium,3.1,3.1,3
Valeriana dioica,Valeriana,2.2,2.2,2
Valeriana montana,Valeriana,2.2,2.2,2
Valeriana officinalis,Valeriana,2.2,2.2,2
Valeriana pratensis,Valeriana,2.2,2.2,2
Valeriana procurrens,Valeriana,2.2,2.2,2
Valeriana sambucifolia,Valeriana,2.2,2.2,2
Valeriana saxatilis,Valeriana,2.2,2.2,2
Valeriana tripteris,Valeriana,2.2,2.2,2
Valeriana versifolia,Valeriana,2.2,2.2,2
Valeriana wallrothii,Valeriana,2.2,2.2,2
Veratrum album,Veratrum,1.2a,1.2,1
Verbascum thapsus,Verbascum,5.6,5.6,5
Veronica alpina,Veronica,5.6,5.6,5
Veronica aphylla,Veronica,5.6,5.6,5
Veronica beccabunga,Veronica,5.6,5.6,5
Veronica chamaedrys,Veronica,5.6,5.6,5
Veronica filiformis,Veronica,5.6,5.6,5
Veronica fruticans,Veronica,5.6,5.6,5
Veronica officinalis,Veronica,5.6,5.6,5
Veronica serpyllifolia,Veronica,5.6,5.6,5
Vicia cracca,Vicia,6.1b,6.1,6
Vicia dalmatica,Vicia,6.1b,6.1,6
Vicia sepium,Vicia,6.1b,6.1,6
Vicia tenuifolia,Vicia,6.1b,6.1,6
Vincetoxicum hirundinaria,Vincetoxicum,10.2,10.2,10
Viola biflora,Viola,5.5,5.5,5
Viola collina,Viola,5.5,5.5,5
Viola hirta,Viola,5.5,5.5,5
Viola reichenbachiana,Viola,5.5,5.5,5
Willemetia stipitata,Willemetia,7.2b,7.2,7
Phyteuma orbiculare,Phyteuma,"NA",7.1,7
Phyteuma spicatum,Phyteuma,"NA",7.1,7
Aconitum vulparia,Aconitum,"NA",5.2,5
Cardamine enneaphyllos,Cardamine,"NA",1.2,1
Euphrasia picta,Euphrasia,"NA",5.1,5
Euphrasia rostkoviana,Euphrasia,"NA",5.1,5
Lamium galeobdolon,Lamium,"NA",5.1,5
Mentha aquatilis,Mentha,"NA",2.2,2
Rumex alpestris,Rumex,"NA",0.0,0
Rheum barbarum,Rheum,"NA",7.1,7
Salix sp,Salix,"NA",9.0,9
Salix spec.,Salix,"NA",9.0,9
Silene flos-cuculi,Silene,"NA",4.2,4
Stachys alopecuros,Stachys,"NA",5.1,5
Stachys officinalis,Stachys,"NA",5.1,5
Taraxacum officinale,Taraxacum,"NA",7.2,7
Gentiana aspera,Gentiana,"NA",2.1,2
Gentiana ciliata,Gentiana,"NA",4.1,4
Alchemilla conjuncta,Alchemilla,"NA",1.2,1
Arabis pumila,Arabis,"NA",1.2,1
Arctous alpina,Arctous,"NA",3.1,3
Calamintha clinopodium,Calamintha,"NA",5.1,5
Carex leporina,Carex,"NA",0.0,0
Ficaria verna,Ficaria,"NA",1.2,1
Huperzia selago,Huperzia,"NA","NA","NA"
Minuartia gerardii,Minuartia,"NA",1.2,1
Papaver aurantiacum,Papaver,"NA",1.1,1
Polygonum viviparum,Polygonum,"NA",3.2,3
Sesleria caerulea,Sesleria,"NA",0,0
