site,elev.mean,date,yday,bb.sp,ktype,visits,prop.visits,flower.cover,perc.flower.cover,bb.sp.abund,tongue,elev.mean0,yday0,prop.flower.cover0,bb.sp.abund0,visits.bin
h1,817,2010-05-12,132,pasc,1,1,0.16666666666666666,6.62,43.61001317523056,6,med,-1.3332698974642887,-1.6300510846569696,5.676635857838265,0.34825538420522195,1
h1,817,2010-05-12,132,pasc,2,0,0,0.5,3.293807641633729,6,med,-1.3332698974642887,-1.6300510846569696,-0.09242839446804539,0.34825538420522195,0
h1,817,2010-05-12,132,pasc,3,0,0,0.2,1.3175230566534917,6,med,-1.3332698974642887,-1.6300510846569696,-0.37522566173796257,0.34825538420522195,0
h1,817,2010-05-12,132,pasc,4,0,0,4.71,31.027667984189723,6,med,-1.3332698974642887,-1.6300510846569696,3.876159922886459,0.34825538420522195,0
h1,817,2010-05-12,132,pasc,5,2,0.3333333333333333,0.36,2.371541501976284,6,med,-1.3332698974642887,-1.6300510846569696,-0.22440045252734012,0.34825538420522195,1
h1,817,2010-05-12,132,pasc,6,3,0.5,1.81,11.923583662714098,6,med,-1.3332698974642887,-1.6300510846569696,1.1424530059439264,0.34825538420522195,1
h1,817,2010-05-12,132,pasc,7,0,0,0.98,6.455862977602108,6,med,-1.3332698974642887,-1.6300510846569696,0.36004723316382214,0.34825538420522195,0
h1,817,2010-05-23,143,pasc,0,0,0,0.02,0.04125412541254125,3,med,-1.3332698974642887,-1.3102747921648803,-0.5578538969625205,-0.20404547308189622,0
h1,817,2010-05-23,143,pasc,1,1,0.3333333333333333,6.03,12.438118811881187,3,med,-1.3332698974642887,-1.3102747921648803,1.216080627797905,-0.20404547308189622,1
h1,817,2010-05-23,143,pasc,2,0,0,0.48000000000000004,0.9900990099009901,3,med,-1.3332698974642887,-1.3102747921648803,-0.42207854232195546,-0.20404547308189622,0
h1,817,2010-05-23,143,pasc,3,0,0,0.2,0.4125412541254125,3,med,-1.3332698974642887,-1.3102747921648803,-0.5047244103640385,-0.20404547308189622,0
h1,817,2010-05-23,143,pasc,4,0,0,7.01,14.459570957095707,3,med,-1.3332698974642887,-1.3102747921648803,1.5053411659451954,-0.20404547308189622,0
h1,817,2010-05-23,143,pasc,5,2,0.6666666666666666,0.95,1.9595709570957094,3,med,-1.3332698974642887,-1.3102747921648803,-0.2833515495370304,-0.20404547308189622,1
h1,817,2010-05-23,143,pasc,6,0,0,2.81,5.796204620462046,3,med,-1.3332698974642887,-1.3102747921648803,0.26565314531394985,-0.20404547308189622,0
h1,817,2010-05-23,143,pasc,7,0,0,6.74,13.902640264026402,3,med,-1.3332698974642887,-1.3102747921648803,1.4256469360474728,-0.20404547308189622,0
h1,817,2010-05-23,143,wurf,0,0,0,0.02,0.04125412541254125,1,med,-1.3332698974642887,-1.3102747921648803,-0.5578538969625205,-0.5722460446066416,0
h1,817,2010-05-23,143,wurf,1,0,0,6.03,12.438118811881187,1,med,-1.3332698974642887,-1.3102747921648803,1.216080627797905,-0.5722460446066416,0
h1,817,2010-05-23,143,wurf,2,0,0,0.48000000000000004,0.9900990099009901,1,med,-1.3332698974642887,-1.3102747921648803,-0.42207854232195546,-0.5722460446066416,0
h1,817,2010-05-23,143,wurf,3,0,0,0.2,0.4125412541254125,1,med,-1.3332698974642887,-1.3102747921648803,-0.5047244103640385,-0.5722460446066416,0
h1,817,2010-05-23,143,wurf,4,0,0,7.01,14.459570957095707,1,med,-1.3332698974642887,-1.3102747921648803,1.5053411659451954,-0.5722460446066416,0
h1,817,2010-05-23,143,wurf,5,0,0,0.95,1.9595709570957094,1,med,-1.3332698974642887,-1.3102747921648803,-0.2833515495370304,-0.5722460446066416,0
h1,817,2010-05-23,143,wurf,6,1,1,2.81,5.796204620462046,1,med,-1.3332698974642887,-1.3102747921648803,0.26565314531394985,-0.5722460446066416,1
h1,817,2010-05-23,143,wurf,7,0,0,6.74,13.902640264026402,1,med,-1.3332698974642887,-1.3102747921648803,1.4256469360474728,-0.5722460446066416,0
h1,817,2010-06-18,169,pasc,0,0,0,0.04,0.8438818565400843,5,med,-1.3332698974642887,-0.5544399190017602,-0.44300154688957144,0.16415509844284923,0
h1,817,2010-06-18,169,pasc,1,0,0,0.62,13.080168776371307,5,med,-1.3332698974642887,-0.5544399190017602,1.3079550353546328,0.16415509844284923,0
h1,817,2010-06-18,169,pasc,2,0,0,0.03,0.6329113924050633,5,med,-1.3332698974642887,-0.5544399190017602,-0.4731904534799888,0.16415509844284923,0
