site,sp.pair,bb.sp1,bb.sp2,subgenus1,subgenus2,tongue1,tongue2,elev.mean,tongue.diff,tongue.pair,subgenus.diff,niche.overlap,level,niche.overlap.genus,niche.overlap.family,niche.overlap.ktype
h2,pasc:telu,pasc,telu,Thoracobombus,Bombus,med,short,987,TRUE,short:med,different,0.43524009470496283,genus,0.43524009470496283,NA,NA
h2,pasc:wurf,pasc,wurf,Thoracobombus,Alpigenobombus,med,med,987,FALSE,med:med,different,0.48305202979287387,genus,0.48305202979287387,NA,NA
h2,prat:psit,prat,psit,Pyrobombus,Psithyrus,short,short,987,FALSE,short:short,different,0.17795744435284655,genus,0.17795744435284655,NA,NA
h2,prat:soro,prat,soro,Pyrobombus,Kallobombus,short,short,987,FALSE,short:short,different,0.17223639502242216,genus,0.17223639502242216,NA,NA
h2,prat:telu,prat,telu,Pyrobombus,Bombus,short,short,987,FALSE,short:short,different,0.21719306187957987,genus,0.21719306187957987,NA,NA
h2,prat:wurf,prat,wurf,Pyrobombus,Alpigenobombus,short,med,987,TRUE,short:med,different,0.38981005240342115,genus,0.38981005240342115,NA,NA
h2,psit:soro,psit,soro,Psithyrus,Kallobombus,short,short,987,FALSE,short:short,different,0.34713328801338417,genus,0.34713328801338417,NA,NA
h2,psit:telu,psit,telu,Psithyrus,Bombus,short,short,987,FALSE,short:short,different,0.05661012340510729,genus,0.05661012340510729,NA,NA
h2,psit:wurf,psit,wurf,Psithyrus,Alpigenobombus,short,med,987,TRUE,short:med,different,0.17822931440672385,genus,0.17822931440672385,NA,NA
h2,soro:telu,soro,telu,Kallobombus,Bombus,short,short,987,FALSE,short:short,different,0.16053823693012126,genus,0.16053823693012126,NA,NA
h2,soro:wurf,soro,wurf,Kallobombus,Alpigenobombus,short,med,987,TRUE,short:med,different,0.18694249946243413,genus,0.18694249946243413,NA,NA
h2,telu:wurf,telu,wurf,Bombus,Alpigenobombus,short,med,987,TRUE,short:med,different,0.7008363173149774,genus,0.7008363173149774,NA,NA
h4,gers:hort,gers,hort,Megabombus,Megabombus,long,long,1330,FALSE,long:long,same,0.3702664796633941,genus,0.3702664796633941,NA,NA
h4,gers:hypn,gers,hypn,Megabombus,Pyrobombus,long,med,1330,TRUE,med:long,different,0,genus,0,NA,NA
h4,gers:jone,gers,jone,Megabombus,Pyrobombus,long,short,1330,TRUE,short:long,different,0,genus,0,NA,NA
h4,gers:mend,gers,mend,Megabombus,Mendacibombus,long,long,1330,FALSE,long:long,different,0.6666666666666666,genus,0.6666666666666666,NA,NA
h4,gers:mont,gers,mont,Megabombus,Pyrobombus,long,med,1330,TRUE,med:long,different,0,genus,0,NA,NA
h4,gers:pasc,gers,pasc,Megabombus,Thoracobombus,long,med,1330,TRUE,med:long,different,0.10634257317415396,genus,0.10634257317415396,NA,NA
h4,gers:prat,gers,prat,Megabombus,Pyrobombus,long,short,1330,TRUE,short:long,different,0.219733210475492,genus,0.219733210475492,NA,NA
h4,gers:psit,gers,psit,Megabombus,Psithyrus,long,short,1330,TRUE,short:long,different,0,genus,0,NA,NA
h4,gers:pyre,gers,pyre,Megabombus,Pyrobombus,long,short,1330,TRUE,short:long,different,0,genus,0,NA,NA
h4,gers:soro,gers,soro,Megabombus,Kallobombus,long,short,1330,TRUE,short:long,different,0.1280287116232155,genus,0.1280287116232155,NA,NA
h4,gers:telu,gers,telu,Megabombus,Bombus,long,short,1330,TRUE,short:long,different,0.08082601509267451,genus,0.08082601509267451,NA,NA
h4,gers:wurf,gers,wurf,Megabombus,Alpigenobombus,long,med,1330,TRUE,med:long,different,0.2855297294485366,genus,0.2855297294485366,NA,NA
h4,hort:hypn,hort,hypn,Megabombus,Pyrobombus,long,med,1330,TRUE,med:long,different,0,genus,0,NA,NA
h4,hort:jone,hort,jone,Megabombus,Pyrobombus,long,short,1330,TRUE,short:long,different,0.2111831053515718,genus,0.2111831053515718,NA,NA
h4,hort:mend,hort,mend,Megabombus,Mendacibombus,long,long,1330,FALSE,long:long,different,0,genus,0,NA,NA
h4,hort:mont,hort,mont,Megabombus,Pyrobombus,long,med,1330,TRUE,med:long,different,0.07235932985393367,genus,0.07235932985393367,NA,NA
h4,hort:pasc,hort,pasc,Megabombus,Thoracobombus,long,med,1330,TRUE,med:long,different,0.2347881062061512,genus,0.2347881062061512,NA,NA
h4,hort:prat,hort,prat,Megabombus,Pyrobombus,long,short,1330,TRUE,short:long,different,0.4182188384040185,genus,0.4182188384040185,NA,NA
h4,hort:psit,hort,psit,Megabombus,Psithyrus,long,short,1330,TRUE,short:long,different,0.10449927431059503,genus,0.10449927431059503,NA,NA
h4,hort:pyre,hort,pyre,Megabombus,Pyrobombus,long,short,1330,TRUE,short:long,different,0,genus,0,NA,NA
h4,hort:soro,hort,soro,Megabombus,Kallobombus,long,short,1330,TRUE,short:long,different,0.2819070896737007,genus,0.2819070896737007,NA,NA
h4,hort:telu,hort,telu,Megabombus,Bombus,long,short,1330,TRUE,short:long,different,0.20471328773901154,genus,0.20471328773901154,NA,NA
h4,hort:wurf,hort,wurf,Megabombus,Alpigenobombus,long,med,1330,TRUE,med:long,different,0.23821032727065705,genus,0.23821032727065705,NA,NA
h4,hypn:jone,hypn,jone,Pyrobombus,Pyrobombus,med,short,1330,TRUE,short:med,same,0,genus,0,NA,NA
h4,hypn:mend,hypn,mend,Pyrobombus,Mendacibombus,med,long,1330,TRUE,med:long,different,0,genus,0,NA,NA
h4,hypn:mont,hypn,mont,Pyrobombus,Pyrobombus,med,med,1330,FALSE,med:med,same,0,genus,0,NA,NA
h4,hypn:pasc,hypn,pasc,Pyrobombus,Thoracobombus,med,med,1330,FALSE,med:med,different,0.10180909435843843,genus,0.10180909435843843,NA,NA
h4,hypn:prat,hypn,prat,Pyrobombus,Pyrobombus,med,short,1330,TRUE,short:med,same,0,genus,0,NA,NA
h4,hypn:psit,hypn,psit,Pyrobombus,Psithyrus,med,short,1330,TRUE,short:med,different,0,genus,0,NA,NA
h4,hypn:pyre,hypn,pyre,Pyrobombus,Pyrobombus,med,short,1330,TRUE,short:med,same,0,genus,0,NA,NA
h4,hypn:soro,hypn,soro,Pyrobombus,Kallobombus,med,short,1330,TRUE,short:med,different,0,genus,0,NA,NA
h4,hypn:telu,hypn,telu,Pyrobombus,Bombus,med,short,1330,TRUE,short:med,different,0.1960422608068162,genus,0.1960422608068162,NA,NA
h4,hypn:wurf,hypn,wurf,Pyrobombus,Alpigenobombus,med,med,1330,FALSE,med:med,different,0.10435819064579899,genus,0.10435819064579899,NA,NA
h4,jone:mend,jone,mend,Pyrobombus,Mendacibombus,short,long,1330,TRUE,short:long,different,0,genus,0,NA,NA
h4,jone:mont,jone,mont,Pyrobombus,Pyrobombus,short,med,1330,TRUE,short:med,same,0.21979140167896216,genus,0.21979140167896216,NA,NA
h4,jone:pasc,jone,pasc,Pyrobombus,Thoracobombus,short,med,1330,TRUE,short:med,different,0.23442317165005833,genus,0.23442317165005833,NA,NA
h4,jone:prat,jone,prat,Pyrobombus,Pyrobombus,short,short,1330,FALSE,short:short,same,0.19705171272002742,genus,0.19705171272002742,NA,NA
h4,jone:psit,jone,psit,Pyrobombus,Psithyrus,short,short,1330,FALSE,short:short,different,0.24857716772681626,genus,0.24857716772681626,NA,NA
h4,jone:pyre,jone,pyre,Pyrobombus,Pyrobombus,short,short,1330,FALSE,short:short,same,0,genus,0,NA,NA
h4,jone:soro,jone,soro,Pyrobombus,Kallobombus,short,short,1330,FALSE,short:short,different,0.1512893139798489,genus,0.1512893139798489,NA,NA
h4,jone:telu,jone,telu,Pyrobombus,Bombus,short,short,1330,FALSE,short:short,different,0.27405421168173894,genus,0.27405421168173894,NA,NA
h4,jone:wurf,jone,wurf,Pyrobombus,Alpigenobombus,short,med,1330,TRUE,short:med,different,0.15552052488913892,genus,0.15552052488913892,NA,NA
h4,mend:mont,mend,mont,Mendacibombus,Pyrobombus,long,med,1330,TRUE,med:long,different,0,genus,0,NA,NA
h4,mend:pasc,mend,pasc,Mendacibombus,Thoracobombus,long,med,1330,TRUE,med:long,different,0.07683296874414469,genus,0.07683296874414469,NA,NA
h4,mend:prat,mend,prat,Mendacibombus,Pyrobombus,long,short,1330,TRUE,short:long,different,0.07037057967702043,genus,0.07037057967702043,NA,NA
h4,mend:psit,mend,psit,Mendacibombus,Psithyrus,long,short,1330,TRUE,short:long,different,0,genus,0,NA,NA
h4,mend:pyre,mend,pyre,Mendacibombus,Pyrobombus,long,short,1330,TRUE,short:long,different,0,genus,0,NA,NA
h4,mend:soro,mend,soro,Mendacibombus,Kallobombus,long,short,1330,TRUE,short:long,different,0.042531277355762453,genus,0.042531277355762453,NA,NA
h4,mend:telu,mend,telu,Mendacibombus,Bombus,long,short,1330,TRUE,short:long,different,0,genus,0,NA,NA
h4,mend:wurf,mend,wurf,Mendacibombus,Alpigenobombus,long,med,1330,TRUE,med:long,different,0.1721910145655684,genus,0.1721910145655684,NA,NA
h4,mont:pasc,mont,pasc,Pyrobombus,Thoracobombus,med,med,1330,FALSE,med:med,different,0.04841531765356066,genus,0.04841531765356066,NA,NA
h4,mont:prat,mont,prat,Pyrobombus,Pyrobombus,med,short,1330,TRUE,short:med,same,0.1327422952767654,genus,0.1327422952767654,NA,NA
