site,date,bb.sp,bb.abund,elev.class,management,elev.mean,transect,lat,lon,elev.class2,year,yday,bb.annual.abund,abund.class,bb.sp.ord,clade,subgenus,bb.sp.lat,pbl.w,pbl.w.class,pbl.w.class2,pbl.w.ref,Notes,pbl.w.durieaux,notes_durieaux
h1,2010-07-18,psit,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,199,71,common,psit,LF,Psithyrus,Psithyrus,6.6,1,short,Arbetman.2017,"Tongue lengths are given only for B. silvestris and B. quadricolor, both 6.6 mm.",6.6,"Missing in Durieaux, added from Arbetman."
h1,2010-07-18,pyre,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,199,32,high elev.,pyre,SF,Pyrobombus,Bombus pyrenaeus,6.1,1,short,Arbetman.2017,NA,7.8,NA
h1,2010-07-18,soro,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,199,278,dominant,soro,K,Kallobombus,Bombus soroeensis,6.2,1,short,Arbetman.2017,NA,8,NA
h1,2010-07-18,telu,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,199,387,dominant,telu,SF,Bombus,Bombus telu,6.9,1,short,Arbetman.2017,"B. terrestris = 7.6, B. lucorum = 6.1, B. cryptarum not given, but observed only once.",8.2,"terr = 8.9, luc = 7.5"
h1,2010-07-18,wurf,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,199,367,dominant,wurf,SF,Alpigenobombus,Bombus wurflenii,7.5,2,med,Arbetman.2017,NA,9,NA
h1,2010-07-22,gers,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,203,21,minor,gers,LF,Megabombus,Bombus gerstaeckeri,16.8,5,long,Obeso.1992,NA,16.8,"Missing in Durieaux, added from Obeso."
h1,2010-07-22,hort,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,203,129,common,hort,LF,Megabombus,Bombus hortorum,12.7,5,long,Arbetman.2017,NA,12.18,NA
h1,2010-07-22,humi,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,203,0,minor,humi,LF,Thoracobombus,Bombus humilis,7.9,2,med,Arbetman.2017,NA,9.1,NA
h1,2010-07-22,hypn,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,203,12,high elev.,hypn,SF,Pyrobombus,Bombus hypnorum,8.9,4,med,Arbetman.2017,NA,7.7,NA
h1,2010-07-22,jone,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,203,11,common,jone,SF,Pyrobombus,Bombus jonellus,6,1,short,Arbetman.2017,NA,6,"Missing in Durieaux, added from Arbetman."
