site,date,yday,elev.mean,sp.pair,bb.sp1,bb.sp2,bb.sp1.abund,bb.sp2.abund,niche.overlap,same.class,log.bb.sp1.abund,log.bb.sp2.abund
ho3,2012-07-25,207,1333,hort_soro,hort,soro,1,2,0.33333333333333337,short:long,0,0.6931471805599453
ho3,2012-07-25,207,1333,hort_telu,hort,telu,1,8,0,short:long,0,2.0794415416798357
ho3,2012-07-25,207,1333,hort_wurf,hort,wurf,1,3,0,med:long,0,1.0986122886681098
ho3,2012-07-25,207,1333,pasc_prat,pasc,prat,1,7,0,short:med,0,1.9459101490553132
ho3,2012-07-25,207,1333,pasc_soro,pasc,soro,1,2,0,short:med,0,0.6931471805599453
ho3,2012-07-25,207,1333,pasc_telu,pasc,telu,1,8,0,short:med,0,2.0794415416798357
ho3,2012-07-25,207,1333,pasc_wurf,pasc,wurf,1,3,0,med:med,0,1.0986122886681098
ho3,2012-07-25,207,1333,prat_soro,prat,soro,7,2,0.47368421052631593,short:short,1.9459101490553132,0.6931471805599453
ho3,2012-07-25,207,1333,prat_telu,prat,telu,7,8,0.75,short:short,1.9459101490553132,2.0794415416798357
ho3,2012-07-25,207,1333,prat_wurf,prat,wurf,7,3,0.75,short:med,1.9459101490553132,1.0986122886681098
ho3,2012-07-25,207,1333,soro_telu,soro,telu,2,8,0.33333333333333337,short:short,0.6931471805599453,2.0794415416798357
ho3,2012-07-25,207,1333,soro_wurf,soro,wurf,2,3,0.33333333333333337,short:med,0.6931471805599453,1.0986122886681098
ho3,2012-07-25,207,1333,telu_wurf,telu,wurf,8,3,1,short:med,2.0794415416798357,1.0986122886681098
ho3,2012-08-02,215,1333,gers_hort,gers,hort,1,4,0,long:long,0,1.3862943611198906
ho3,2012-08-02,215,1333,gers_muci,gers,muci,1,1,0,med:long,0,0
ho3,2012-08-02,215,1333,gers_pasc,gers,pasc,1,5,0,med:long,0,1.6094379124341003
ho3,2012-08-02,215,1333,gers_prat,gers,prat,1,5,0,short:long,0,1.6094379124341003
