"Stationsname"	"date"	"elevation"	"Messortname"	"Lat"	"Lon"	"year"	"T_meanday"	"stdDate"	"Daynumber"
"Blaueishuette"	"16.02.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-5.44	16.02.10	14656
"Blaueishuette"	"17.02.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	1.71	17.02.10	14657
"Blaueishuette"	"18.02.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	1.94	18.02.10	14658
"Blaueishuette"	"19.02.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	1.28	19.02.10	14659
"Blaueishuette"	"20.02.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-7.35	20.02.10	14660
"Blaueishuette"	"21.02.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-6.44	21.02.10	14661
"Blaueishuette"	"22.02.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-0.14	22.02.10	14662
"Blaueishuette"	"23.02.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	1.71	23.02.10	14663
"Blaueishuette"	"24.02.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	0.65	24.02.10	14664
"Blaueishuette"	"25.02.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	0.24	25.02.10	14665
"Blaueishuette"	"26.02.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-0.89	26.02.10	14666
"Blaueishuette"	"27.02.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-2.56	27.02.10	14667
"Blaueishuette"	"28.02.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	4.18	28.02.10	14668
"Blaueishuette"	"01.03.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-1.23	01.03.10	14669
"Blaueishuette"	"02.03.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-2.78	02.03.10	14670
"Blaueishuette"	"03.03.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-5.1	03.03.10	14671
"Blaueishuette"	"04.03.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-5.96	04.03.10	14672
"Blaueishuette"	"05.03.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-12.65	05.03.10	14673
"Blaueishuette"	"06.03.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-11.04	06.03.10	14674
"Blaueishuette"	"07.03.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-13.23	07.03.10	14675
"Blaueishuette"	"08.03.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-14.92	08.03.10	14676
"Blaueishuette"	"09.03.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-13.63	09.03.10	14677
"Blaueishuette"	"10.03.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-7.43	10.03.10	14678
"Blaueishuette"	"11.03.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-8.86	11.03.10	14679
"Blaueishuette"	"12.03.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-8.08	12.03.10	14680
"Blaueishuette"	"13.03.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-7.45	13.03.10	14681
"Blaueishuette"	"14.03.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-6.91	14.03.10	14682
"Blaueishuette"	"15.03.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-6.03	15.03.10	14683
"Blaueishuette"	"16.03.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-4.45	16.03.10	14684
"Blaueishuette"	"17.03.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-0.7	17.03.10	14685
"Blaueishuette"	"18.03.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	3.43	18.03.10	14686
"Blaueishuette"	"19.03.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	5.64	19.03.10	14687
"Blaueishuette"	"20.03.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	7	20.03.10	14688
"Blaueishuette"	"21.03.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	6.13	21.03.10	14689
"Blaueishuette"	"22.03.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	2.19	22.03.10	14690
"Blaueishuette"	"23.03.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	4.05	23.03.10	14691
"Blaueishuette"	"24.03.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	6.73	24.03.10	14692
"Blaueishuette"	"25.03.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	6.84	25.03.10	14693
"Blaueishuette"	"26.03.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	6.56	26.03.10	14694
"Blaueishuette"	"27.03.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-0.08	27.03.10	14695
"Blaueishuette"	"28.03.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-0.51	28.03.10	14696
"Blaueishuette"	"29.03.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	3.85	29.03.10	14697
"Blaueishuette"	"30.03.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	5.84	30.03.10	14698
"Blaueishuette"	"31.03.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-1.8	31.03.10	14699
"Blaueishuette"	"01.04.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-4.07	01.04.10	14700
"Blaueishuette"	"02.04.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-4.25	02.04.10	14701
"Blaueishuette"	"03.04.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	1.96	03.04.10	14702
"Blaueishuette"	"04.04.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	1.01	04.04.10	14703
"Blaueishuette"	"05.04.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-3.24	05.04.10	14704
"Blaueishuette"	"06.04.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-0.1	06.04.10	14705
"Blaueishuette"	"07.04.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	6.22	07.04.10	14706
"Blaueishuette"	"08.04.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	5.84	08.04.10	14707
"Blaueishuette"	"09.04.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	3.45	09.04.10	14708
"Blaueishuette"	"10.04.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-1.31	10.04.10	14709
"Blaueishuette"	"11.04.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-4.9	11.04.10	14710
"Blaueishuette"	"12.04.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-4.48	12.04.10	14711
"Blaueishuette"	"13.04.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-1.92	13.04.10	14712
"Blaueishuette"	"14.04.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-1.92	14.04.10	14713
"Blaueishuette"	"15.04.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-1.77	15.04.10	14714
"Blaueishuette"	"16.04.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	0.57	16.04.10	14715
