year;sample_number;size;ecto-mites_xs;ecto-mites_s;ecto-mites_m;ecto-mites_l;tracheal-mites;parasite_apicystis;parasite_nosema;parasite_crithidia;parasitoid_braconidae_larvae;parasitoid_conopidae_ventral_egg;parasitoid_conopidae_ventral_larvae;parasitoid_conopidae_dorsal_egg;parasitoid_conopidae_dorsal_larvae;parasitoid_conopidae_dead_larvae;nematode;ovary_development;fatbody_look;comment;dissector
2012;1;3;0;0;0;1;0;NA;NA;NA;0;0;0;0;0;0;0;2;normal;;S
2012;2;3.3;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;braun gepunkted;;S
2012;3;2.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;normal;;S
2012;4;5.1;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2012;5;3.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;normal;;S
2012;6;3.2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;normal;;S
2012;7;2.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;normal;;S
2012;8;2.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;normal;;S
2012;9;3.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;normal;;S
2012;10;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;normal;;S
2012;11;3.1;0;0;0;0;0;0;1ind;0;0;0;0;0;0;0;0;1;normal;;S
2012;12;2.9;1red;0;0;0;1;NA;NA;NA;0;0;0;0;0;0;0;1;normal;;S
2012;13;3.4;0;0;0;0;1;NA;NA;NA;0;0;0;0;0;0;0;0;hellgelb, teils vergrš§ert, teils aufgelšst, teils normal;;S
2012;42;3.1;0;0;0;0;2;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2012;43;3.6;0;0;0;1;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2012;44;3.4;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2012;45;3.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;normal;;S
2012;46;3.5;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2012;47;3.3;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2012;48;2.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;braun gepunkted;;S
2012;49;3.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;normal;;S
2012;50;3.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;normal;;S
2012;51;3.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;normal;;S
2012;52;3.4;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2012;53;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;normal;;S
2012;54;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;normal;;S
2012;55;3.5;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2012;56;3.8;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;normal;;S
2012;59;3.3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;wei§, nicht aufgelšst;;S
2012;57;3.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;normal;;S
2012;58;3.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;normal;;S
2012;60;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;normal;;S
2012;14;3.7;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2012;15;3.9;1;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2012;17;3.3;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2012;18;3.7;0;0;0;1;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2012;19;3.5;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2012;20;3.5;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2012;21;3.6;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;2;normal;;S
2012;22;3.9;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;1;normal;;S
2012;23;3.5;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;hellgelb, vergrš§ert;;S
2012;24;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;normal;;S
2012;16;3.7;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;1;normal;;S
2012;25;3.8;0;0;0;0;0;NA;NA;NA;0;0;0;0;1;0;0;0;normal;;S
2012;26;3.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;braun gepunkted;;S
2012;27;3.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;braun gepunkted;;S
2012;28;3.8;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;1;normal;;S
2012;31;3.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;normal;;S
2012;32;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;normal;;S
2012;33;3.9;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2012;34;3.2;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2012;35;3.3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;normal;;S
2012;36;3.2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;normal;;S
2012;37;3.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;normal;;S
2012;38;3.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;braun gepunkted;;S
2012;39;3.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;normal;;S
2012;40;3.8;0;0;0;2;0;NA;NA;NA;0;0;0;0;0;0;0;1;normal;;S
2012;41;3.9;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2012;29;3.4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;normal;;S
2012;30;3.1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;normal;;S
2012;61;2.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;braun gepunkted;;S
2012;62;3.5;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2012;63;3.3;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2012;64;3.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;braun gepunkted;;S
2012;65;3.3;0;1;0;1;0;NA;NA;NA;0;0;0;0;0;0;0;1;normal;;S
2012;66;3.2;0;0;0;1;1;NA;NA;NA;0;0;0;0;0;0;0;0;hellgelb, teils aufgelšst;;S
2012;67;3.3;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;1;normal;;S
2012;68;3.4;0;1;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2012;69;3.4;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2012;70;3.6;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2012;71;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;braun gepunkted;;S
2012;72;3.5;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2012;73;3.2;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2012;74;3.7;0;1;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2012;75;3.2;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2012;76;3.5;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2012;77;3.6;0;1;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2012;78;3.1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;braun gepunkted;;S
2012;79;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;braun gepunkted;;S
2012;80;3.4;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2012;81;3.6;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2012;82;3.3;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2012;83;3.3;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2012;84;3.2;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2012;85;3.4;0;0;0;0;1;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
