Saxifraga aizoides
Saxifraga androsacea
Saxifraga caesia
Saxifraga paniculata
Saxifraga rotundifolia
Saxifraga stellaris
Scabiosa lucida
Scrophularia nodosa
Sedum album
Sedum atratum
Senecio abrotanifolius
Senecio ovatus
Sesleria albicans
Sesleria caerulea
Silene acaulis
Silene dioica
Silene flos-cuculi
Silene nutans
Silene vulgaris
Solanum dulcamara
Soldanella alpina
Solidago virgaurea
Stachys alopecuros
Stachys officinalis
Stachys sylvatica
Stellaria graminea
Stellaria nemorum
Taraxacum officinale
Teucrium chamaedrys
Thalictrum aquilegiifolium
Thesium alpinum
Thymus praecox
Thymus pulegioides
Tofieldia calyculata
Tofieldia pusilla
Tragopogon pratensis
Traunsteinera globosa
Trifolium badium
Trifolium medium
Trifolium montanum
Trifolium pratense
Trifolium repens
Trisetum flavescens
Trollius europaeus
Tussilago farfara
Urtica dioica
Vaccinium myrtillus
Vaccinium vitis-idaea
Valeriana dioica
Valeriana montana
Valeriana officinalis
Valeriana saxatilis
Valeriana tripteris
Veratrum album
Verbascum thapsus
Veronica alpina
Veronica aphylla
Veronica beccabunga
Veronica chamaedrys
Veronica filiformis
Veronica fruticans
Veronica officinalis
Veronica serpyllifolia
Vicia cracca
Vicia sepium
Vincetoxicum hirundinaria
Viola biflora
Viola collina
Viola hirta
Viola reichenbachiana
Willemetia stipitata
Rubus idaeus
Rosa canina
Larix decidua
Mentha aquatilis
Salix spec.
Caltha palustris
Pulmonaria officinalis
Rheum barbarum
Mentha arvensis
