Anthericum ramosum L.;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;insects;the rule;Rosquist, G. 2001: Reproductive biology in diploid Anthericum ramosum and tetraploid A. liliago (Anthericaceae). Oikos 92:143-152;species;
Anthoxanthum alpinum Å. Löve & D. Löve;wind;the rule;Frank, D., Klotz, S. 1990: Biologisch-ökologische Daten zur Flora der DDR. Wissenschaftliche Beiträge Martin-Luther Univ. Halle-Wittenberg Vol. 32 (P41);family;
Anthoxanthum aristatum Boiss.;wind;the rule;Frank, D., Klotz, S. 1990: Biologisch-ökologische Daten zur Flora der DDR. Wissenschaftliche Beiträge Martin-Luther Univ. Halle-Wittenberg Vol. 32 (P41);family;
Anthoxanthum odoratum L. s. str.;wind;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;selfing;possible;Beddows, A.R. 1931: Seed setting and flowering in various grasses. Bulletin of the Welsh Plant Breeding Station, Series H 12:5-99;species;
Anthriscus nitida (Wahlenb.) Hazsl.;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Anthriscus sylvestris (L.) Hoffm.;geitonogamy;possible;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;insects;the rule;Darbyshire, S.J., Hoeg, R., Haverkort, J. 1999: The biology of Canadian weeds. 111. Anthriscus sylvestris (L.) Hoffm.. Canadian Journal of Plant Science 79:671-682;species;
;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Anthyllis vulneraria L. s. l.;selfing;the rule;Couderc, H. 1971: Etude expérimental de la reproduction de l¿ Anthyllis vulneraria L.. Bulletin de la Societé botanique de France 118:359-374;species;
;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Aposeris foetida (L.) Less.;selfing;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;insects;rare;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Aquilegia atrata W. D. J. Koch;selfing;rare;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Arabis alpina L. s. str.;selfing;often;Günthart, A. 1926: Die Blütenbiologie der Alpenflora. In: Schroeter, C. (Hrsg.) Das Pflanzenleben der Alpen, S. 1028-1109, Albert Raustein, Zürich;species;
;insects;the rule;Günthart, A. 1926: Die Blütenbiologie der Alpenflora. In: Schroeter, C. (Hrsg.) Das Pflanzenleben der Alpen, S. 1028-1109, Albert Raustein, Zürich;species;
Arabis bellidifolia Crantz s. l.;selfing;at failure of outcrossing;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Arabis caerulea All.;selfing;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;cleistogamy;possible;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;insects;rare;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Arabis caucasica Willd.;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Arabis ciliata Clairv.;selfing;unknown;Frank, D., Klotz, S. 1990: Biologisch-ökologische Daten zur Flora der DDR. Wissenschaftliche Beiträge Martin-Luther Univ. Halle-Wittenberg Vol. 32 (P41);genus;
;insects;unknown;Frank, D., Klotz, S. 1990: Biologisch-ökologische Daten zur Flora der DDR. Wissenschaftliche Beiträge Martin-Luther Univ. Halle-Wittenberg Vol. 32 (P41);genus;
Arabis hirsuta (L.) Scop.;selfing;possible;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;selfing;the rule;Grime, J.P., Hodgson, J.G., Hunt, R. 1988: Comparative Plant Ecology. Unwin Hyman, London;species;
;selfing;the rule;Roy, B.A. 1995: The breeding systems of 6 species of Arabis (Brassicaceae). American Journal of Botany 82:869-877;species;
;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Arabis nemorensis (Wolf ex Hoffm.) W. D. J. Koch;selfing;unknown;Frank, D., Klotz, S. 1990: Biologisch-ökologische Daten zur Flora der DDR. Wissenschaftliche Beiträge Martin-Luther Univ. Halle-Wittenberg Vol. 32 (P41);genus;
;insects;unknown;Frank, D., Klotz, S. 1990: Biologisch-ökologische Daten zur Flora der DDR. Wissenschaftliche Beiträge Martin-Luther Univ. Halle-Wittenberg Vol. 32 (P41);genus;
Arabis sagittata (Bertol.) DC.;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Arctostaphylos alpinus (L.) Spreng.;selfing;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;insects;possible;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Arenaria ciliata L. s. l.;selfing;at failure of outcrossing;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl;wind;always;Pfitzenmeyer, C.D.C. 1962: Biological Flora of the British Isles: Arrhenatherum elatius (L.) J.&C.Presl (Arrhenatherum avenaceum Beauv.). Journal of Ecology 50:235-245;species;
;selfing;rare;Pfitzenmeyer, C.D.C. 1962: Biological Flora of the British Isles: Arrhenatherum elatius (L.) J.&C.Presl (Arrhenatherum avenaceum Beauv.). Journal of Ecology 50:235-245;species;
Aster bellidiastrum (L.) Scop.;geitonogamy;possible;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Bartsia alpina L.;wind;possible;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;insects;always;Molau, U., Carlsson, M., Dahlberg, A., Hill, Ö. 1989: Mating system and pollen-mediated gene flow in Bartsia alpina. Oikos 55:419;species;
Bellis perennis L.;selfing;the rule;Warwick, S.I., Briggs, D. 1979: The genecology of lawn weeds. 3: Cultivation experiments with Achillea millefolium L., Bellis perennis L., Plantago lanceolata L., Plantago major L. and Prunella vulgaris L. collected from lawn and contrasting grassland habitats. New Phytologist 83:509-536;;
;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Berberis vulgaris L.;selfing;at failure of outcrossing;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Betonica alopecuros L.;selfing;unknown;Frank, D., Klotz, S. 1990: Biologisch-ökologische Daten zur Flora der DDR. Wissenschaftliche Beiträge Martin-Luther Univ. Halle-Wittenberg Vol. 32 (P41);genus;
;insects;unknown;Frank, D., Klotz, S. 1990: Biologisch-ökologische Daten zur Flora der DDR. Wissenschaftliche Beiträge Martin-Luther Univ. Halle-Wittenberg Vol. 32 (P41);genus;
Betonica officinalis L.;selfing;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;insects;rare;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Biscutella laevigata L.;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
