BiolFlor-Name;UV reflection of the flower;;;
;UV reflection in the centre of the flower;UV reflection in the periphery of the flower;UV reflection pattern
Gentiana cruciata L.;8-15 %;8-15 %;UV reflectance pattern present;
Gentiana utriculosa L.;0-7 %;0-7 %;no UV reflectance patterns;
Gentianella ciliata (L.) Borkh.;8-15 %;8-15 %;no UV reflectance patterns;
Geranium robertianum L. s. str.;28-39 %;28-39 %;UV reflectance pattern present;
Geranium sylvaticum L.;0-7 %;67-85 %;UV reflectance pattern present;
Geum rivale L.;unknown;28-39 %;unknown;
Geum urbanum L.;28-39 %;28-39 %;UV reflectance pattern present;
Glechoma hederacea L.;8-15 %;8-15 %;no UV reflectance patterns;
Globularia cordifolia L.;0-7 %;8-15 %;UV reflectance pattern present;
Gymnadenia conopsea (L.) R. Br.;8-15 %;8-15 %;no UV reflectance patterns;
Helianthemum nummularium (L.) Mill. s. l.;0-7 %;40-66 %;UV reflectance pattern present;
Helleborus niger L.;unknown;unknown;no UV reflectance patterns;
Hepatica nobilis Schreb.;40-66 %;40-66 %;UV reflectance pattern present;
Heracleum sphondylium L.;0-7 %;0-7 %;no UV reflectance patterns;
Hieracium aurantiacum L.;0-7 %;8-15 %;UV reflectance pattern present;
Hieracium murorum L.;0-7 %;28-39 %;UV reflectance pattern present;
Hieracium pilosella L.;0-7 %;0-7 %;no UV reflectance patterns;
Hieracium piloselloides Vill.;0-7 %;16-27 %;UV reflectance pattern present;
Hippocrepis comosa L.;0-7 %;0-7 %;no UV reflectance patterns;
Hypericum maculatum Crantz s. l.;0-7 %;40-66 %;UV reflectance pattern present;
Hypericum perforatum L.;0-7 %;40-66 %;UV reflectance pattern present;
Impatiens noli-tangere L.;0-7 %;40-66 %;UV reflectance pattern present;
Knautia arvensis (L.) Coult. s. str.;0-7 %;0-7 %;no UV reflectance patterns;
Knautia dipsacifolia Kreutzer;0-7 %;0-7 %;no UV reflectance patterns;
Lamium maculatum L.;0-7 %;8-15 %;UV reflectance pattern present;
Lathyrus pratensis L.;0-7 %;8-15 %;UV reflectance pattern present;
Leontodon hispidus L.;0-7 %;40-66 %;UV reflectance pattern present;
Leucanthemum halleri (Suter) Ducommun;0-7 %;0-7 %;no UV reflectance patterns;
Leucanthemum vulgare Lam. s. str.;0-7 %;0-7 %;no UV reflectance patterns;
Lilium martagon L.;0-7 %;0-7 %;no UV reflectance patterns;
Linaria vulgaris Mill.;0-7 %;0-7 %;no UV reflectance patterns;
Linum catharticum L.;0-7 %;8-15 %;UV reflectance pattern present;
Listera ovata (L.) R. Br.;8-15 %;8-15 %;no UV reflectance patterns;
Lotus corniculatus L.;0-7 %;0-7 %;no UV reflectance patterns;
Lychnis flos-cuculi L.;0-7 %;28-39 %;UV reflectance pattern present;
Lysimachia nemorum L.;0-7 %;40-66 %;UV reflectance pattern present;
Lysimachia nummularia L.;8-15 %;8-15 %;no UV reflectance patterns;
Maianthemum bifolium (L.) F. W. Schmidt;8-15 %;8-15 %;no UV reflectance patterns;
Medicago lupulina L.;0-7 %;0-7 %;no UV reflectance patterns;
Melampyrum sylvaticum L.;8-15 %;8-15 %;no UV reflectance patterns;
Mentha arvensis L.;8-15 %;8-15 %;no UV reflectance patterns;
Mentha longifolia (L.) L.;8-15 %;8-15 %;no UV reflectance patterns;
Mercurialis perennis L.;8-15 %;8-15 %;no UV reflectance patterns;
Minuartia verna (L.) Hiern s. l.;8-15 %;8-15 %;no UV reflectance patterns;
Myosotis sylvatica Ehrh. ex Hoffm.;0-7 %;0-7 %;no UV reflectance patterns;
Ophrys holoserica (Burm. f.) Greuter;unknown;unknown;UV reflectance pattern present;
Ophrys insectifera L.;unknown;unknown;UV reflectance pattern present;
Orchis ustulata L.;8-15 %;8-15 %;no UV reflectance patterns;
Origanum vulgare L.;8-15 %;8-15 %;no UV reflectance patterns;
Oxalis acetosella L.;8-15 %;8-15 %;no UV reflectance patterns;
Paris quadrifolia L.;8-15 %;8-15 %;no UV reflectance patterns;
Parnassia palustris L.;unknown;unknown;UV reflectance pattern present;
;0-7 %;0-7 %;no UV reflectance patterns;
Petasites albus (L.) Gaertn.;8-15 %;8-15 %;no UV reflectance patterns;
Peucedanum ostruthium (L.) Koch;0-7 %;0-7 %;no UV reflectance patterns;
Phyteuma nigrum F. W. Schmidt;unknown;8-15 %;unknown;
Phyteuma orbiculare L. s. l.;unknown;16-27 %;no UV reflectance patterns;
Phyteuma spicatum L.;unknown;8-15 %;unknown;
Pimpinella major (L.) Huds.;0-7 %;0-7 %;no UV reflectance patterns;
Pinguicula alpina L.;0-7 %;8-15 %;UV reflectance pattern present;
Plantago media L.;8-15 %;8-15 %;no UV reflectance patterns;
Platanthera bifolia (L.) Rich.;8-15 %;8-15 %;no UV reflectance patterns;
Polygala amara L.;8-15 %;8-15 %;no UV reflectance patterns;
Polygala amarella Crantz;8-15 %;8-15 %;no UV reflectance patterns;
Polygala chamaebuxus L.;unknown;unknown;no UV reflectance patterns;
Polygonatum odoratum (Mill.) Druce;unknown;8-15 %;unknown;
Polygonatum verticillatum (L.) All.;unknown;8-15 %;unknown;
Potentilla aurea L.;0-7 %;0-7 %;no UV reflectance patterns;
;0-7 %;16-27 %;UV reflectance pattern present;
;0-7 %;16-27 %;UV reflectance pattern present;
Potentilla erecta (L.) Raeusch.;0-7 %;40-66 %;UV reflectance pattern present;
Potentilla reptans L.;0-7 %;40-66 %;UV reflectance pattern present;
Primula elatior (L.) Hill;0-7 %;0-7 %;no UV reflectance patterns;
Primula veris L.;0-7 %;0-7 %;no UV reflectance patterns;
Primula vulgaris Huds.;0-7 %;0-7 %;no UV reflectance patterns;
Prunella grandiflora (L.) Scholler;16-27 %;16-27 %;no UV reflectance patterns;
Prunella vulgaris L.;8-15 %;8-15 %;no UV reflectance patterns;
;0-7 %;67-85 %;UV reflectance pattern present;
Pseudorchis albida (L.) Å. Löve & D. Löve;8-15 %;8-15 %;no UV reflectance patterns;
Pulmonaria obscura Dumort.;0-7 %;40-66 %;UV reflectance pattern present;
Pulmonaria officinalis L.;0-7 %;67-85 %;UV reflectance pattern present;
Pyrola rotundifolia L.;8-15 %;8-15 %;no UV reflectance patterns;
Ranunculus aconitifolius L.;0-7 %;8-15 %;UV reflectance pattern present;
Ranunculus acris L.;0-7 %;16-27 %;UV reflectance pattern present;
Ranunculus ficaria L.;0-7 %;40-66 %;UV reflectance pattern present;
Ranunculus montanus Willd.;0-7 %;16-27 %;UV reflectance pattern present;
Ranunculus nemorosus DC.;0-7 %;0-7 %;no UV reflectance patterns;
Ranunculus repens L.;0-7 %;16-27 %;UV reflectance pattern present;
Rhinanthus alectorolophus (Scop.) Pollich s. l.;0-7 %;0-7 %;no UV reflectance patterns;
Rhinanthus minor L.;0-7 %;0-7 %;no UV reflectance patterns;
Rhododendron hirsutum L.;16-27 %;16-27 %;UV reflectance pattern present;
Rosa canina L. s. l.;0-7 %;0-7 %;no UV reflectance patterns;
Rubus idaeus L.;8-15 %;8-15 %;no UV reflectance patterns;
Sagina procumbens L.;8-15 %;8-15 %;no UV reflectance patterns;
Salvia glutinosa L.;0-7 %;8-15 %;UV reflectance pattern present;
Salvia verticillata L.;8-15 %;8-15 %;no UV reflectance patterns;
Sanguisorba officinalis L.;8-15 %;8-15 %;no UV reflectance patterns;
