site1,site2,metric,metric.class,value,elev1,elev2,man1,man2,lon1,lat1,lon2,lat2,elev.diff,mean.elev,man.diff,year
h1,h6,ST.l,ST.partition,0.27642307428098667,817,1808,grasing,none,12.836133,47.590633,12.822917,47.555367,991,1312.5,TRUE,2010
h1,h6,ST.lh,ST.partition,0.4259290598371096,817,1808,grasing,none,12.836133,47.590633,12.822917,47.555367,991,1312.5,TRUE,2010
h1,h6,WN,aggregate,0.9028502119060124,817,1808,grasing,none,12.836133,47.590633,12.822917,47.555367,991,1312.5,TRUE,2010
h1,h6,WN.repl,WN.partition,0.8159453010870567,817,1808,grasing,none,12.836133,47.590633,12.822917,47.555367,991,1312.5,TRUE,2010
h1,h6,WN.rich,WN.partition,0.08690491081895584,817,1808,grasing,none,12.836133,47.590633,12.822917,47.555367,991,1312.5,TRUE,2010
h1,h7,OS,aggregate,0.017621347612559037,817,1984,grasing,none,12.836133,47.590633,12.829933,47.552167,1167,1400.5,TRUE,2010
h1,h7,OS.repl,OS.partition,0,817,1984,grasing,none,12.836133,47.590633,12.829933,47.552167,1167,1400.5,TRUE,2010
h1,h7,OS.rich,OS.partition,0.017621347612559037,817,1984,grasing,none,12.836133,47.590633,12.829933,47.552167,1167,1400.5,TRUE,2010
h1,h7,S,aggregate,0.7915205947585389,817,1984,grasing,none,12.836133,47.590633,12.829933,47.552167,1167,1400.5,TRUE,2010
h1,h7,ST,aggregate,0.9823786523874409,817,1984,grasing,none,12.836133,47.590633,12.829933,47.552167,1167,1400.5,TRUE,2010
h1,h7,ST.h,ST.partition,0.036610349601561024,817,1984,grasing,none,12.836133,47.590633,12.829933,47.552167,1167,1400.5,TRUE,2010
h1,h7,ST.l,ST.partition,0.3205557300542445,817,1984,grasing,none,12.836133,47.590633,12.829933,47.552167,1167,1400.5,TRUE,2010
h1,h7,ST.lh,ST.partition,0.6252125727316354,817,1984,grasing,none,12.836133,47.590633,12.829933,47.552167,1167,1400.5,TRUE,2010
h1,h7,WN,aggregate,1,817,1984,grasing,none,12.836133,47.590633,12.829933,47.552167,1167,1400.5,TRUE,2010
h1,h7,WN.repl,WN.partition,0.8805419413597781,817,1984,grasing,none,12.836133,47.590633,12.829933,47.552167,1167,1400.5,TRUE,2010
h1,h7,WN.rich,WN.partition,0.11945805864022183,817,1984,grasing,none,12.836133,47.590633,12.829933,47.552167,1167,1400.5,TRUE,2010
h1,ho1,OS,aggregate,0.03183342126309083,817,841,grasing,grasing,12.836133,47.590633,12.880783,47.604083,24,829,FALSE,2010
h1,ho1,OS.repl,OS.partition,0.02225906290305385,817,841,grasing,grasing,12.836133,47.590633,12.880783,47.604083,24,829,FALSE,2010
h1,ho1,OS.rich,OS.partition,0.009574358360036977,817,841,grasing,grasing,12.836133,47.590633,12.880783,47.604083,24,829,FALSE,2010
h1,ho1,S,aggregate,0.4511154122580019,817,841,grasing,grasing,12.836133,47.590633,12.880783,47.604083,24,829,FALSE,2010
h1,ho1,ST,aggregate,0.6204037030849667,817,841,grasing,grasing,12.836133,47.590633,12.880783,47.604083,24,829,FALSE,2010
h1,ho1,ST.h,ST.partition,0.08694178625087785,817,841,grasing,grasing,12.836133,47.590633,12.880783,47.604083,24,829,FALSE,2010
