bb.sp,plant.sp,preference
prat,Cirsium palustre,0.5800020709916841
psit,Cirsium palustre,2.0859213020726637
bss,Cirsium spinosissimum,2.625346972427057
hort,Cirsium spinosissimum,2.884870850553377
psit,Cirsium spinosissimum,22.608341900668098
pyre,Cirsium spinosissimum,1.498388351783452
soro,Cirsium spinosissimum,0.6265296164285971
pasc,Cirsium vulgare,1.1560005197911871
psit,Cirsium vulgare,11.240232609279122
soro,Cirsium vulgare,2.9279596336555285
bss,Clinopodium vulgare,0.1399130169488986
pasc,Clinopodium vulgare,2.249098716054449
prat,Clinopodium vulgare,0.7660983022215195
soro,Clinopodium vulgare,1.0314576545014675
wurf,Clinopodium vulgare,0.25788216174037726
bss,Crepis aurea,0.2132467961399212
lapi,Crepis aurea,1.968109240307463
mont,Crepis aurea,0.5877349115745033
psit,Crepis aurea,1.2085134154823391
soro,Crepis aurea,0.25788697378998754
lapi,Crepis biennis,1.4317676535778034
psit,Crepis biennis,3.2575010224494805
bss,Crepis terglouensis,3.1465259227456794
pasc,Crepis terglouensis,1.7863085514298451
bss,Crocus albiflorus,0.3214117154432963
pasc,Crocus albiflorus,1.3614753197768061
prat,Crocus albiflorus,2.8010100175623287
bss,Dactylorhiza maculata,0.06185756255011242
hort,Dactylorhiza maculata,0.17930753468459756
pasc,Dactylorhiza maculata,0.031325512253743984
prat,Dactylorhiza maculata,0.20613725057800328
wurf,Dactylorhiza maculata,0.05500010226516227
pasc,Daphne mezereum,0.6468416691921127
bss,Dryas octopetala,3.3222383839655247
hort,Dryas octopetala,1.8175477544424778
jone,Dryas octopetala,4.232044369722435
mont,Dryas octopetala,2.2813769877730485
pasc,Dryas octopetala,0.7687090258723737
prat,Dryas octopetala,0.9567649243242436
pyre,Dryas octopetala,1.9993992867218389
soro,Dryas octopetala,0.6201147426682438
wurf,Dryas octopetala,0.10340191808857885
bss,Epilobium montanum,0.15863718041488642
bss,Erica carnea,17.41194971449167
jone,Erica carnea,10.626547908034512
lapi,Erica carnea,29.77655423449905
mont,Erica carnea,4.862685620914349
