site,date,year,q.prop,r.prop,gdd.cum,elev.class,management,elev.mean,transect,lat,lon,elev.class2,yday,break1,break2,caste,count,prop
h1,2012-03-30,2012,1,0,2,mitte,grasing,817,Hintersee,47.590633,12.836133,low,90,256.8945574746033,554.8542652058436,queen,1,1
h1,2012-04-02,2012,1,0,2,mitte,grasing,817,Hintersee,47.590633,12.836133,low,93,256.8945574746033,554.8542652058436,queen,1,1
h1,2012-04-04,2012,1,0,2,mitte,grasing,817,Hintersee,47.590633,12.836133,low,95,256.8945574746033,554.8542652058436,queen,10,1
h1,2012-04-13,2012,1,0,2,mitte,grasing,817,Hintersee,47.590633,12.836133,low,104,256.8945574746033,554.8542652058436,queen,2,1
h1,2012-04-20,2012,1,0,2,mitte,grasing,817,Hintersee,47.590633,12.836133,low,111,256.8945574746033,554.8542652058436,queen,19,1
h1,2012-04-21,2012,1,0,2,mitte,grasing,817,Hintersee,47.590633,12.836133,low,112,256.8945574746033,554.8542652058436,queen,34,1
h1,2012-04-23,2012,1,0,2,mitte,grasing,817,Hintersee,47.590633,12.836133,low,114,256.8945574746033,554.8542652058436,queen,13,1
h1,2012-04-25,2012,1,0,2,mitte,grasing,817,Hintersee,47.590633,12.836133,low,116,256.8945574746033,554.8542652058436,queen,56,1
ho1,2012-04-20,2012,1,0,2,mitte,grasing,841,Hintersee (Ost),47.604083,12.880783,low,111,256.8945574746033,554.8542652058436,queen,7,1
ho1,2012-04-23,2012,1,0,2,mitte,grasing,841,Hintersee (Ost),47.604083,12.880783,low,114,256.8945574746033,554.8542652058436,queen,8,1
wmb1,2012-04-20,2012,1,0,2,mitte,grasing,960,Watzmann 2,47.590483,12.94405,low,111,256.8945574746033,554.8542652058436,queen,10,1
wmb1,2012-04-23,2012,1,0,2,mitte,grasing,960,Watzmann 2,47.590483,12.94405,low,114,256.8945574746033,554.8542652058436,queen,7,1
wmb1,2012-04-25,2012,1,0,2,mitte,grasing,960,Watzmann 2,47.590483,12.94405,low,116,256.8945574746033,554.8542652058436,queen,17,1
t1,2012-03-25,2012,1,0,3,unten,mowing,714,Tal,47.609817,12.8992,low,85,256.8945574746033,554.8542652058436,queen,1,1
t1,2012-03-30,2012,1,0,3,unten,mowing,714,Tal,47.609817,12.8992,low,90,256.8945574746033,554.8542652058436,queen,6,1
t1,2012-04-02,2012,1,0,3,unten,mowing,714,Tal,47.609817,12.8992,low,93,256.8945574746033,554.8542652058436,queen,4,1
t1,2012-04-14,2012,1,0,3,unten,mowing,714,Tal,47.609817,12.8992,low,105,256.8945574746033,554.8542652058436,queen,2,1
t4,2012-03-29,2012,1,0,3,unten,mowing,641,Tal,47.612417,12.942383,low,89,256.8945574746033,554.8542652058436,queen,6,1
t4,2012-03-30,2012,1,0,3,unten,mowing,641,Tal,47.612417,12.942383,low,90,256.8945574746033,554.8542652058436,queen,13,1
t4,2012-03-31,2012,1,0,3,unten,mowing,641,Tal,47.612417,12.942383,low,91,256.8945574746033,554.8542652058436,queen,13,1
t4,2012-04-04,2012,1,0,3,unten,mowing,641,Tal,47.612417,12.942383,low,95,256.8945574746033,554.8542652058436,queen,26,1
t4,2012-04-14,2012,1,0,3,unten,mowing,641,Tal,47.612417,12.942383,low,105,256.8945574746033,554.8542652058436,queen,1,1
t4,2012-04-19,2012,1,0,3,unten,mowing,641,Tal,47.612417,12.942383,low,110,256.8945574746033,554.8542652058436,queen,3,1
t4,2012-04-21,2012,1,0,3,unten,mowing,641,Tal,47.612417,12.942383,low,112,256.8945574746033,554.8542652058436,queen,7,1
t4,2012-04-23,2012,1,0,3,unten,mowing,641,Tal,47.612417,12.942383,low,114,256.8945574746033,554.8542652058436,queen,4,1
t5,2012-04-04,2012,1,0,3,unten,mowing,746,Tal,47.604817,12.946317,low,95,256.8945574746033,554.8542652058436,queen,3,1
t5,2012-04-13,2012,1,0,3,unten,mowing,746,Tal,47.604817,12.946317,low,104,256.8945574746033,554.8542652058436,queen,1,1
t5,2012-04-21,2012,1,0,3,unten,mowing,746,Tal,47.604817,12.946317,low,112,256.8945574746033,554.8542652058436,queen,3,1
t5,2012-04-23,2012,1,0,3,unten,mowing,746,Tal,47.604817,12.946317,low,114,256.8945574746033,554.8542652058436,queen,2,1
wma1,2012-03-28,2012,1,0,3,mitte,grasing,766,Watzmann 1,47.596033,12.924383,low,88,256.8945574746033,554.8542652058436,queen,3,1
wma1,2012-03-29,2012,1,0,3,mitte,grasing,766,Watzmann 1,47.596033,12.924383,low,89,256.8945574746033,554.8542652058436,queen,3,1
wma1,2012-03-30,2012,1,0,3,mitte,grasing,766,Watzmann 1,47.596033,12.924383,low,90,256.8945574746033,554.8542652058436,queen,1,1
wma1,2012-03-31,2012,1,0,3,mitte,grasing,766,Watzmann 1,47.596033,12.924383,low,91,256.8945574746033,554.8542652058436,queen,1,1
wma1,2012-04-04,2012,1,0,3,mitte,grasing,766,Watzmann 1,47.596033,12.924383,low,95,256.8945574746033,554.8542652058436,queen,4,1
wma1,2012-04-14,2012,1,0,3,mitte,grasing,766,Watzmann 1,47.596033,12.924383,low,105,256.8945574746033,554.8542652058436,queen,2,1
wma1,2012-04-23,2012,1,0,3,mitte,grasing,766,Watzmann 1,47.596033,12.924383,low,114,256.8945574746033,554.8542652058436,queen,2,1
wma5,2012-06-05,2012,1,0,13,oben,none,2032,Watzmann 1,47.5683,12.930633,high,157,105.49422854844842,193.02038223082076,queen,1,1
wmb1,2012-04-27,2012,1,0,13,mitte,grasing,960,Watzmann 2,47.590483,12.94405,low,118,256.8945574746033,554.8542652058436,queen,11,1
h1,2012-04-27,2012,1,0,15,mitte,grasing,817,Hintersee,47.590633,12.836133,low,118,256.8945574746033,554.8542652058436,queen,54,1
t5,2012-04-27,2012,1,0,15,unten,mowing,746,Tal,47.604817,12.946317,low,118,256.8945574746033,554.8542652058436,queen,6,1
wma1,2012-04-27,2012,1,0,15,mitte,grasing,766,Watzmann 1,47.596033,12.924383,low,118,256.8945574746033,554.8542652058436,queen,1,1
t4,2012-04-27,2012,1,0,16,unten,mowing,641,Tal,47.612417,12.942383,low,118,256.8945574746033,554.8542652058436,queen,4,1
h2,2012-04-28,2012,1,0,22,mitte,grasing,987,Hintersee,47.574683,12.800967,low,119,256.8945574746033,554.8542652058436,queen,2,1
wmb1,2012-04-28,2012,1,0,22,mitte,grasing,960,Watzmann 2,47.590483,12.94405,low,119,256.8945574746033,554.8542652058436,queen,6,1
h1,2012-04-28,2012,1,0,24,mitte,grasing,817,Hintersee,47.590633,12.836133,low,119,256.8945574746033,554.8542652058436,queen,120,1
wma5,2012-06-17,2012,1,0,25,oben,none,2032,Watzmann 1,47.5683,12.930633,high,169,105.49422854844842,193.02038223082076,queen,3,1
wmb5,2012-06-09,2012,1,0,25,oben,none,1813,Watzmann 2,47.571583,12.93625,high,161,105.49422854844842,193.02038223082076,queen,1,1
wmb1,2012-04-29,2012,1,0,28,mitte,grasing,960,Watzmann 2,47.590483,12.94405,low,120,256.8945574746033,554.8542652058436,queen,13,1
h3,2012-04-30,2012,1,0,29,mitte,grasing,1105,Hintersee,47.5607,12.79875,mid,121,198.4757472422897,358.78492107928435,queen,16,1
h1,2012-04-29,2012,1,0,30,mitte,grasing,817,Hintersee,47.590633,12.836133,low,120,256.8945574746033,554.8542652058436,queen,83,1
ho1,2012-04-29,2012,1,0,30,mitte,grasing,841,Hintersee (Ost),47.604083,12.880783,low,120,256.8945574746033,554.8542652058436,queen,9,1
wma3,2012-05-10,2012,1,0,30,mitte,grasing,1423,Watzmann 1,47.5778,12.943317,mid,131,198.4757472422897,358.78492107928435,queen,18,1
wmb3,2012-05-10,2012,1,0,30,mitte,grasing,1420,Watzmann 2,47.569167,12.962033,mid,131,198.4757472422897,358.78492107928435,queen,12,1
h3,2012-05-01,2012,1,0,33,mitte,grasing,1105,Hintersee,47.5607,12.79875,mid,122,198.4757472422897,358.78492107928435,queen,8,1
wma2,2012-05-06,2012,1,0,33,mitte,grasing,1245,Watzmann 1,47.583517,12.940933,mid,127,198.4757472422897,358.78492107928435,queen,5,1
wmb1,2012-04-30,2012,1,0,33,mitte,grasing,960,Watzmann 2,47.590483,12.94405,low,121,256.8945574746033,554.8542652058436,queen,18,1
h7,2012-06-18,2012,0.5,0.5,34,oben,none,1984,Hintersee,47.552167,12.829933,high,170,105.49422854844842,193.02038223082076,queen,1,0.5
h1,2012-04-30,2012,1,0,35,mitte,grasing,817,Hintersee,47.590633,12.836133,low,121,256.8945574746033,554.8542652058436,queen,7,1
h2,2012-05-01,2012,1,0,36,mitte,grasing,987,Hintersee,47.574683,12.800967,low,122,256.8945574746033,554.8542652058436,queen,7,1
t5,2012-04-30,2012,1,0,36,unten,mowing,746,Tal,47.604817,12.946317,low,121,256.8945574746033,554.8542652058436,queen,5,1
wma3,2012-05-13,2012,1,0,36,mitte,grasing,1423,Watzmann 1,47.5778,12.943317,mid,134,198.4757472422897,358.78492107928435,queen,13,1
wmb2,2012-05-04,2012,1,0,36,mitte,grasing,1140,Watzmann 2,47.57715,12.955817,mid,125,198.4757472422897,358.78492107928435,queen,6,1
wmb2,2012-05-06,2012,1,0,36,mitte,grasing,1140,Watzmann 2,47.57715,12.955817,mid,127,198.4757472422897,358.78492107928435,queen,5,1
wmb2,2012-05-07,2012,1,0,36,mitte,grasing,1140,Watzmann 2,47.57715,12.955817,mid,128,198.4757472422897,358.78492107928435,queen,3,1
h3,2012-05-02,2012,1,0,37,mitte,grasing,1105,Hintersee,47.5607,12.79875,mid,123,198.4757472422897,358.78492107928435,queen,14,1
h3,2012-05-04,2012,1,0,37,mitte,grasing,1105,Hintersee,47.5607,12.79875,mid,125,198.4757472422897,358.78492107928435,queen,13,1
h3,2012-05-06,2012,1,0,37,mitte,grasing,1105,Hintersee,47.5607,12.79875,mid,127,198.4757472422897,358.78492107928435,queen,14,1
wmb1,2012-05-01,2012,1,0,37,mitte,grasing,960,Watzmann 2,47.590483,12.94405,low,122,256.8945574746033,554.8542652058436,queen,16,1
wmb3,2012-05-13,2012,1,0,37,mitte,grasing,1420,Watzmann 2,47.569167,12.962033,mid,134,198.4757472422897,358.78492107928435,queen,17,1
wmb3,2012-05-17,2012,1,0,37,mitte,grasing,1420,Watzmann 2,47.569167,12.962033,mid,138,198.4757472422897,358.78492107928435,queen,3,1
wmb4,2012-06-09,2012,1,0,37,oben,grasing,1655,Watzmann 2,47.571617,12.9406,mid,161,198.4757472422897,358.78492107928435,queen,3,1
h3,2012-05-08,2012,1,0,38,mitte,grasing,1105,Hintersee,47.5607,12.79875,mid,129,198.4757472422897,358.78492107928435,queen,19,1
ho4,2012-05-29,2012,1,0,38,oben,none,1552,Hintersee (Ost),47.583083,12.881717,mid,150,198.4757472422897,358.78492107928435,queen,2,1
t4,2012-04-30,2012,1,0,38,unten,mowing,641,Tal,47.612417,12.942383,low,121,256.8945574746033,554.8542652058436,queen,8,1
h5,2012-06-04,2012,1,0,39,oben,none,1579,Hintersee,47.5593,12.816433,mid,156,198.4757472422897,358.78492107928435,queen,4,1
wmb5,2012-06-17,2012,1,0,39,oben,none,1813,Watzmann 2,47.571583,12.93625,high,169,105.49422854844842,193.02038223082076,queen,3,1
h1,2012-05-01,2012,1,0,40,mitte,grasing,817,Hintersee,47.590633,12.836133,low,122,256.8945574746033,554.8542652058436,queen,32,1
ho2,2012-05-04,2012,1,0,40,mitte,grasing,1045,Hintersee (Ost),47.588917,12.893233,mid,125,198.4757472422897,358.78492107928435,queen,16,1
ho2,2012-05-07,2012,1,0,40,mitte,grasing,1045,Hintersee (Ost),47.588917,12.893233,mid,128,198.4757472422897,358.78492107928435,queen,5,1
wma2,2012-05-10,2012,1,0,40,mitte,grasing,1245,Watzmann 1,47.583517,12.940933,mid,131,198.4757472422897,358.78492107928435,queen,10,1
h2,2012-05-02,2012,1,0,41,mitte,grasing,987,Hintersee,47.574683,12.800967,low,123,256.8945574746033,554.8542652058436,queen,14,1
h2,2012-05-03,2012,1,0,41,mitte,grasing,987,Hintersee,47.574683,12.800967,low,124,256.8945574746033,554.8542652058436,queen,4,1
wma4,2012-06-17,2012,1,0,41,oben,none,1773,Watzmann 1,47.574517,12.923983,high,169,105.49422854844842,193.02038223082076,queen,1,1
wma5,2012-06-20,2012,1,0,41,oben,none,2032,Watzmann 1,47.5683,12.930633,high,172,105.49422854844842,193.02038223082076,queen,4,1
wmb1,2012-05-02,2012,1,0,41,mitte,grasing,960,Watzmann 2,47.590483,12.94405,low,123,256.8945574746033,554.8542652058436,queen,19,1
wmb1,2012-05-03,2012,1,0,41,mitte,grasing,960,Watzmann 2,47.590483,12.94405,low,124,256.8945574746033,554.8542652058436,queen,4,1
h2,2012-05-04,2012,1,0,42,mitte,grasing,987,Hintersee,47.574683,12.800967,low,125,256.8945574746033,554.8542652058436,queen,1,1
h2,2012-05-06,2012,1,0,42,mitte,grasing,987,Hintersee,47.574683,12.800967,low,127,256.8945574746033,554.8542652058436,queen,6,1
h4,2012-05-16,2012,1,0,42,mitte,grasing,1330,Hintersee,47.557383,12.807417,mid,137,198.4757472422897,358.78492107928435,queen,1,1
ho3,2012-05-11,2012,1,0,42,mitte,none,1333,Hintersee (Ost),47.584583,12.8873,mid,132,198.4757472422897,358.78492107928435,queen,2,1
ho4,2012-06-05,2012,1,0,42,oben,none,1552,Hintersee (Ost),47.583083,12.881717,mid,157,198.4757472422897,358.78492107928435,queen,4,1
wmb1,2012-05-04,2012,1,0,42,mitte,grasing,960,Watzmann 2,47.590483,12.94405,low,125,256.8945574746033,554.8542652058436,queen,8,1
wmb1,2012-05-06,2012,1,0,42,mitte,grasing,960,Watzmann 2,47.590483,12.94405,low,127,256.8945574746033,554.8542652058436,queen,10,1
h2,2012-05-08,2012,1,0,43,mitte,grasing,987,Hintersee,47.574683,12.800967,low,129,256.8945574746033,554.8542652058436,queen,4,1
ho1,2012-05-02,2012,1,0,44,mitte,grasing,841,Hintersee (Ost),47.604083,12.880783,low,123,256.8945574746033,554.8542652058436,queen,2,1
h1,2012-05-03,2012,1,0,45,mitte,grasing,817,Hintersee,47.590633,12.836133,low,124,256.8945574746033,554.8542652058436,queen,22,1
wma5,2012-06-26,2012,1,0,45,oben,none,2032,Watzmann 1,47.5683,12.930633,high,178,105.49422854844842,193.02038223082076,queen,3,1
wmb2,2012-05-10,2012,1,0,45,mitte,grasing,1140,Watzmann 2,47.57715,12.955817,mid,131,198.4757472422897,358.78492107928435,queen,11,1
h1,2012-05-06,2012,1,0,46,mitte,grasing,817,Hintersee,47.590633,12.836133,low,127,256.8945574746033,554.8542652058436,queen,8,1
ho1,2012-05-04,2012,1,0,46,mitte,grasing,841,Hintersee (Ost),47.604083,12.880783,low,125,256.8945574746033,554.8542652058436,queen,4,1
ho1,2012-05-07,2012,1,0,46,mitte,grasing,841,Hintersee (Ost),47.604083,12.880783,low,128,256.8945574746033,554.8542652058436,queen,6,1
t5,2012-05-03,2012,1,0,46,unten,mowing,746,Tal,47.604817,12.946317,low,124,256.8945574746033,554.8542652058436,queen,1,1
wma3,2012-05-23,2012,1,0,46,mitte,grasing,1423,Watzmann 1,47.5778,12.943317,mid,144,198.4757472422897,358.78492107928435,queen,2,1
ho4,2012-06-08,2012,1,0,47,oben,none,1552,Hintersee (Ost),47.583083,12.881717,mid,160,198.4757472422897,358.78492107928435,queen,10,1
wma1,2012-05-06,2012,1,0,47,mitte,grasing,766,Watzmann 1,47.596033,12.924383,low,127,256.8945574746033,554.8542652058436,queen,1,1
wma3,2012-05-27,2012,1,0,47,mitte,grasing,1423,Watzmann 1,47.5778,12.943317,mid,148,198.4757472422897,358.78492107928435,queen,8,1
wmb3,2012-05-21,2012,1,0,47,mitte,grasing,1420,Watzmann 2,47.569167,12.962033,mid,142,198.4757472422897,358.78492107928435,queen,1,1
wmb3,2012-05-23,2012,1,0,47,mitte,grasing,1420,Watzmann 2,47.569167,12.962033,mid,144,198.4757472422897,358.78492107928435,queen,4,1
h1,2012-05-08,2012,1,0,48,mitte,grasing,817,Hintersee,47.590633,12.836133,low,129,256.8945574746033,554.8542652058436,queen,3,1
t1,2012-05-04,2012,1,0,48,unten,mowing,714,Tal,47.609817,12.8992,low,125,256.8945574746033,554.8542652058436,queen,2,1
t4,2012-05-03,2012,1,0,48,unten,mowing,641,Tal,47.612417,12.942383,low,124,256.8945574746033,554.8542652058436,queen,10,1
t5,2012-05-06,2012,1,0,48,unten,mowing,746,Tal,47.604817,12.946317,low,127,256.8945574746033,554.8542652058436,queen,5,1
wma2,2012-05-13,2012,1,0,48,mitte,grasing,1245,Watzmann 1,47.583517,12.940933,mid,134,198.4757472422897,358.78492107928435,queen,2,1
wmb3,2012-05-24,2012,1,0,48,mitte,grasing,1420,Watzmann 2,47.569167,12.962033,mid,145,198.4757472422897,358.78492107928435,queen,3,1
wmb3,2012-05-27,2012,1,0,48,mitte,grasing,1420,Watzmann 2,47.569167,12.962033,mid,148,198.4757472422897,358.78492107928435,queen,1,1
h7,2012-06-24,2012,1,0,49,oben,none,1984,Hintersee,47.552167,12.829933,high,176,105.49422854844842,193.02038223082076,queen,3,1
ho2,2012-05-10,2012,1,0,49,mitte,grasing,1045,Hintersee (Ost),47.588917,12.893233,mid,131,198.4757472422897,358.78492107928435,queen,1,1
wmb3,2012-06-01,2012,1,0,49,mitte,grasing,1420,Watzmann 2,47.569167,12.962033,mid,153,198.4757472422897,358.78492107928435,queen,1,1
t4,2012-05-06,2012,1,0,50,unten,mowing,641,Tal,47.612417,12.942383,low,127,256.8945574746033,554.8542652058436,queen,10,1
wma3,2012-06-05,2012,0.6666666666666666,0.3333333333333333,52,mitte,grasing,1423,Watzmann 1,47.5778,12.943317,mid,157,198.4757472422897,358.78492107928435,queen,2,0.6666666666666666
wmb1,2012-05-10,2012,1,0,52,mitte,grasing,960,Watzmann 2,47.590483,12.94405,low,131,256.8945574746033,554.8542652058436,queen,3,1
h4,2012-05-21,2012,1,0,53,mitte,grasing,1330,Hintersee,47.557383,12.807417,mid,142,198.4757472422897,358.78492107928435,queen,24,1
h4,2012-05-22,2012,1,0,53,mitte,grasing,1330,Hintersee,47.557383,12.807417,mid,143,198.4757472422897,358.78492107928435,queen,23,1
ho3,2012-05-22,2012,1,0,53,mitte,none,1333,Hintersee (Ost),47.584583,12.8873,mid,143,198.4757472422897,358.78492107928435,queen,2,1
wmb2,2012-05-13,2012,1,0,53,mitte,grasing,1140,Watzmann 2,47.57715,12.955817,mid,134,198.4757472422897,358.78492107928435,queen,8,1
wmb2,2012-05-17,2012,1,0,53,mitte,grasing,1140,Watzmann 2,47.57715,12.955817,mid,138,198.4757472422897,358.78492107928435,queen,1,1
wmb4,2012-06-17,2012,1,0,53,oben,grasing,1655,Watzmann 2,47.571617,12.9406,mid,169,198.4757472422897,358.78492107928435,queen,5,1
h3,2012-05-11,2012,1,0,54,mitte,grasing,1105,Hintersee,47.5607,12.79875,mid,132,198.4757472422897,358.78492107928435,queen,9,1
wmb3,2012-06-05,2012,1,0,54,mitte,grasing,1420,Watzmann 2,47.569167,12.962033,mid,157,198.4757472422897,358.78492107928435,queen,2,1
h3,2012-05-12,2012,1,0,55,mitte,grasing,1105,Hintersee,47.5607,12.79875,mid,133,198.4757472422897,358.78492107928435,queen,56,1
h3,2012-05-17,2012,1,0,55,mitte,grasing,1105,Hintersee,47.5607,12.79875,mid,138,198.4757472422897,358.78492107928435,queen,9,1
h4,2012-05-28,2012,1,0,55,mitte,grasing,1330,Hintersee,47.557383,12.807417,mid,149,198.4757472422897,358.78492107928435,queen,7,1
ho3,2012-05-29,2012,1,0,55,mitte,none,1333,Hintersee (Ost),47.584583,12.8873,mid,150,198.4757472422897,358.78492107928435,queen,1,1
ho1,2012-05-10,2012,1,0,57,mitte,grasing,841,Hintersee (Ost),47.604083,12.880783,low,131,256.8945574746033,554.8542652058436,queen,5,1
h4,2012-06-02,2012,1,0,58,mitte,grasing,1330,Hintersee,47.557383,12.807417,mid,154,198.4757472422897,358.78492107928435,queen,8,1
ho2,2012-05-11,2012,1,0,58,mitte,grasing,1045,Hintersee (Ost),47.588917,12.893233,mid,132,198.4757472422897,358.78492107928435,queen,27,1
ho2,2012-05-17,2012,1,0,58,mitte,grasing,1045,Hintersee (Ost),47.588917,12.893233,mid,138,198.4757472422897,358.78492107928435,queen,5,1
wma3,2012-06-09,2012,1,0,59,mitte,grasing,1423,Watzmann 1,47.5778,12.943317,mid,161,198.4757472422897,358.78492107928435,queen,3,1
wmb5,2012-06-20,2012,1,0,59,oben,none,1813,Watzmann 2,47.571583,12.93625,high,172,105.49422854844842,193.02038223082076,queen,1,1
wma2,2012-05-21,2012,1,0,60,mitte,grasing,1245,Watzmann 1,47.583517,12.940933,mid,142,198.4757472422897,358.78492107928435,queen,7,1
h2,2012-05-11,2012,1,0,61,mitte,grasing,987,Hintersee,47.574683,12.800967,low,132,256.8945574746033,554.8542652058436,queen,3,1
h2,2012-05-12,2012,1,0,61,mitte,grasing,987,Hintersee,47.574683,12.800967,low,133,256.8945574746033,554.8542652058436,queen,1,1
h2,2012-05-17,2012,1,0,61,mitte,grasing,987,Hintersee,47.574683,12.800967,low,138,256.8945574746033,554.8542652058436,queen,2,1
wma2,2012-05-23,2012,1,0,61,mitte,grasing,1245,Watzmann 1,47.583517,12.940933,mid,144,198.4757472422897,358.78492107928435,queen,5,1
wmb3,2012-06-08,2012,1,0,61,mitte,grasing,1420,Watzmann 2,47.569167,12.962033,mid,160,198.4757472422897,358.78492107928435,queen,6,1
